idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,8,10,4,13,16,5,12,36.64,600.0,,0
1,3,1,13,18,10,2,29,30.44,1450.0,,0
2,14,14,20,10,14,15,21,33.71,1050.0,,0
3,9,17,18,16,11,5,26,33.17,1300.0,,0
4,5,14,20,3,10,20,25,33.62,1250.0,,0
5,12,12,10,19,4,15,27,33.04,1350.0,,0
6,14,19,11,18,7,11,13,37.13,650.0,,0
7,7,1,9,9,7,6,40,32.04,2000.0,,0
8,3,10,11,1,11,10,42,31.41,2100.0,,0
9,15,10,5,9,13,20,21,33.75,1050.0,,0
10,2,8,9,19,20,8,16,37.16,800.0,,0
11,3,14,7,15,9,6,46,32.58,2300.0,,0
12,10,1,10,19,10,17,25,33.87,1250.0,,0
13,11,19,1,12,2,15,22,230.62,1100.0,,0
14,17,18,12,9,6,4,34,43.28,1700.0,,0
15,14,7,4,2,2,2,22,287.93,1100.0,,0
16,10,12,3,20,11,13,65,46.89,3250.0,,0
17,11,6,10,15,1,2,46,1402.2,2300.0,,0
18,8,6,8,16,9,3,71,22785.19,3550.0,,0
19,8,10,9,2,3,2,60,78631.64,3000.0,,0
0,8.0,10.0,4.0,13.0,16.0,5.0,12.0,36.64,600.0,63786.5,1.0
1,8.0,10.0,4.0,13.0,16.0,5.0,12.0,36.64,600.0,63786.5,1.0
2,8.0,10.0,4.0,13.0,16.0,5.0,12.0,36.64,600.0,63786.5,1.0
3,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,63786.5,1.0
4,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,63786.5,1.0
5,15.0,20.0,5.0,20.0,13.0,20.0,26.0,32.73,1300.0,63786.5,1.0
6,20.0,20.0,11.0,20.0,11.0,4.0,11.0,37.43,550.0,63786.5,1.0
7,20.0,14.0,20.0,10.0,14.0,15.0,25.0,32.91,1250.0,63786.5,1.0
8,20.0,8.0,20.0,19.0,20.0,8.0,16.0,34.66,800.0,63786.5,1.0
9,3.0,14.0,7.0,15.0,9.0,20.0,21.0,33.7,1050.0,63786.5,1.0
10,20.0,8.0,9.0,19.0,20.0,2.0,46.0,30.4,2300.0,63786.5,1.0
11,14.0,19.0,11.0,18.0,7.0,11.0,13.0,37.13,650.0,63786.5,1.0
12,10.0,1.0,10.0,20.0,10.0,20.0,42.0,30.59,2100.0,63786.5,1.0
13,7.0,1.0,9.0,9.0,7.0,6.0,40.0,32.04,2000.0,63786.5,1.0
14,11.0,6.0,10.0,15.0,20.0,8.0,16.0,34.91,800.0,63786.5,1.0
15,12.0,12.0,10.0,19.0,4.0,15.0,27.0,33.04,1350.0,63786.5,1.0
16,14.0,14.0,20.0,10.0,14.0,15.0,21.0,33.71,1050.0,63786.5,1.0
17,5.0,14.0,20.0,3.0,10.0,20.0,25.0,33.62,1250.0,63786.5,1.0
18,9.0,17.0,18.0,16.0,11.0,5.0,26.0,33.17,1300.0,63786.5,1.0
19,9.0,17.0,18.0,16.0,11.0,5.0,26.0,33.17,1300.0,63786.5,1.0
0,8.0,10.0,4.0,13.0,16.0,5.0,12.0,36.64,600.0,68194.0,2.0
1,8.0,10.0,4.0,13.0,16.0,5.0,12.0,36.64,600.0,68194.0,2.0
2,8.0,10.0,4.0,13.0,16.0,5.0,12.0,36.64,600.0,68194.0,2.0
3,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,68194.0,2.0
4,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,68194.0,2.0
5,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,68194.0,2.0
6,15.0,20.0,5.0,20.0,13.0,20.0,26.0,32.73,1300.0,68194.0,2.0
7,15.0,20.0,5.0,20.0,13.0,20.0,26.0,32.73,1300.0,68194.0,2.0
8,20.0,20.0,11.0,20.0,11.0,4.0,11.0,37.43,550.0,68194.0,2.0
9,20.0,20.0,11.0,20.0,11.0,4.0,11.0,37.43,550.0,68194.0,2.0
10,20.0,14.0,20.0,10.0,14.0,15.0,25.0,32.91,1250.0,68194.0,2.0
11,20.0,8.0,20.0,19.0,20.0,8.0,16.0,34.66,800.0,68194.0,2.0
12,20.0,8.0,9.0,19.0,20.0,2.0,46.0,30.4,2300.0,68194.0,2.0
13,20.0,8.0,9.0,19.0,20.0,2.0,46.0,30.4,2300.0,68194.0,2.0
14,8.0,12.0,20.0,19.0,20.0,15.0,4.0,40.03,200.0,68194.0,2.0
15,7.0,1.0,9.0,9.0,7.0,20.0,20.0,33.15,1000.0,68194.0,2.0
16,6.0,20.0,20.0,18.0,10.0,2.0,27.0,32.41,1350.0,68194.0,2.0
17,20.0,1.0,13.0,20.0,11.0,4.0,5.0,38.15,250.0,68194.0,2.0
18,20.0,19.0,11.0,18.0,20.0,11.0,13.0,35.73,650.0,68194.0,2.0
19,10.0,1.0,10.0,20.0,10.0,20.0,42.0,30.59,2100.0,68194.0,2.0
0,10.0,1.0,10.0,20.0,20.0,15.0,4.0,38.83,200.0,71404.5,3.0
1,20.0,1.0,13.0,19.0,20.0,2.0,46.0,28.55,2300.0,71404.5,3.0
2,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,71404.5,3.0
3,20.0,8.0,20.0,19.0,20.0,8.0,16.0,34.66,800.0,71404.5,3.0
4,7.0,1.0,9.0,9.0,7.0,20.0,20.0,33.15,1000.0,71404.5,3.0
5,20.0,1.0,13.0,20.0,11.0,4.0,5.0,38.15,250.0,71404.5,3.0
6,8.0,12.0,20.0,19.0,20.0,4.0,11.0,37.32,550.0,71404.5,3.0
7,20.0,19.0,11.0,18.0,20.0,11.0,13.0,35.73,650.0,71404.5,3.0
8,3.0,1.0,13.0,18.0,10.0,2.0,29.0,30.44,1450.0,71404.5,3.0
9,6.0,20.0,20.0,18.0,10.0,2.0,27.0,32.41,1350.0,71404.5,3.0
10,20.0,14.0,20.0,10.0,14.0,15.0,25.0,32.91,1250.0,71404.5,3.0
