0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
16,20,20,20,20,17,48,15.06,2400,15.43,420.87
3,7,20,20,16,20,35,15.46,1750,15.8,387.27
20,20,20,20,20,16,25,15.86,1250,15.58,389.93
20,2,4,12,20,20,19,16.09,950,16.0,442.31
20,2,4,20,20,17,12,16.74,600,17.46,527.45
20,2,4,12,20,17,10,17.36,500,17.2,487.52
16,20,13,20,20,20,3,20.21,150,19.72,1176.35
