0,1,2,val_rmse,num_neuron,test_rmse,test_score
7,34,4,20.637018225410117,380,30.61,14762.82
7,27,8,20.66921460600309,350,30.32,14492.04
7,27,4,20.75230242707876,310,30.31,14320.95
7,20,19,20.669560962629983,390,30.52,14357.17
7,28,8,20.730509817609597,360,30.35,13746.77
7,28,5,20.749139264693525,330,30.4,13816.46
7,22,5,20.80384573368824,270,30.38,13782.87
7,15,24,20.6832349785345,390,30.52,14860.5
7,3,34,20.83977985187344,370,30.54,14720.49
7,10,24,20.84223860257028,340,30.53,14497.7
7,27,6,20.71910593463883,330,30.54,14589.64
7,19,11,20.73826717516334,300,30.43,14556.11
7,19,6,20.83470114719407,250,30.49,14616.84
7,19,18,20.70172766633466,370,30.34,14396.34
7,12,15,20.811060680134183,270,30.7,14430.41
7,25,1,20.85500069832524,260,30.42,13498.62
7,29,1,20.7154094034308,300,30.24,13708.4
7,28,8,20.70196818259905,360,30.45,14352.89
7,7,25,20.803108937267325,320,30.5,14920.9
7,21,8,20.80355819554488,290,30.46,14393.6
7,19,8,20.830009749760052,270,30.64,13929.83
7,13,24,20.694339301352727,370,30.42,14837.58
7,25,1,20.743056423276716,260,30.28,13924.87
7,25,8,20.689488568440623,330,30.23,13778.14
7,24,8,20.779696099509263,320,30.58,13901.95
7,12,19,20.81114570167912,310,30.55,14634.0
7,18,8,20.81584305109218,260,30.59,14162.05
7,17,8,20.8443232820411,250,30.46,14782.72
7,26,4,20.77067790189454,300,30.44,14415.89
7,26,2,20.80914917593068,280,30.41,14345.25
7,22,4,20.85698573167244,260,30.52,14084.84
