idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,18,9,20,3,14,11,12,14.99,600.0,,0
1,4,2,19,7,12,16,25,13.82,1250.0,,0
2,3,7,9,15,16,6,3,17.78,150.0,,0
3,19,3,16,9,2,1,19,17.43,950.0,,0
4,17,7,4,20,9,10,26,14.51,1300.0,,0
5,20,10,12,13,17,13,38,14.37,1900.0,,0
6,1,18,4,9,19,12,25,15.88,1250.0,,0
7,16,5,13,16,10,15,42,15.47,2100.0,,0
8,12,14,9,15,4,7,38,367.81,1900.0,,0
9,13,3,17,14,16,10,53,15.97,2650.0,,0
10,5,16,2,6,14,20,51,3184.88,2550.0,,0
11,9,17,15,11,17,9,53,18.7,2650.0,,0
12,4,15,8,3,20,15,58,22.17,2900.0,,0
13,14,20,16,9,20,16,62,19.98,3100.0,,0
14,19,16,12,11,1,9,63,548.57,3150.0,,0
15,17,19,17,1,12,8,78,32.46,3900.0,,0
16,14,10,12,19,4,3,65,258.49,3250.0,,0
17,13,16,8,5,20,7,67,41.05,3350.0,,0
18,7,14,18,18,4,7,73,568.38,3650.0,,0
19,1,7,6,1,11,18,80,543.61,4000.0,,0
0,18.0,9.0,20.0,3.0,14.0,11.0,12.0,14.99,600.0,137142.0,1.0
1,4.0,2.0,19.0,7.0,12.0,16.0,25.0,13.82,1250.0,137142.0,1.0
2,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137142.0,1.0
3,19.0,3.0,16.0,9.0,20.0,16.0,62.0,13.58,3100.0,137142.0,1.0
4,9.0,17.0,4.0,11.0,11.0,20.0,19.0,14.9,950.0,137142.0,1.0
5,18.0,20.0,20.0,5.0,20.0,20.0,12.0,15.67,600.0,137142.0,1.0
6,5.0,16.0,20.0,20.0,14.0,20.0,51.0,13.84,2550.0,137142.0,1.0
7,4.0,2.0,19.0,20.0,12.0,16.0,25.0,13.95,1250.0,137142.0,1.0
8,3.0,7.0,9.0,15.0,16.0,6.0,3.0,17.78,150.0,137142.0,1.0
9,3.0,7.0,9.0,15.0,16.0,6.0,3.0,17.78,150.0,137142.0,1.0
10,14.0,20.0,20.0,20.0,2.0,1.0,19.0,15.79,950.0,137142.0,1.0
11,17.0,7.0,4.0,20.0,9.0,10.0,26.0,14.51,1300.0,137142.0,1.0
12,4.0,2.0,19.0,7.0,12.0,16.0,35.0,14.14,1750.0,137142.0,1.0
13,17.0,7.0,20.0,20.0,9.0,12.0,25.0,14.6,1250.0,137142.0,1.0
14,19.0,3.0,16.0,9.0,2.0,1.0,19.0,17.43,950.0,137142.0,1.0
15,19.0,20.0,16.0,9.0,20.0,13.0,53.0,14.16,2650.0,137142.0,1.0
16,1.0,18.0,4.0,9.0,19.0,10.0,26.0,15.68,1300.0,137142.0,1.0
17,20.0,10.0,12.0,13.0,17.0,13.0,38.0,14.37,1900.0,137142.0,1.0
18,1.0,18.0,4.0,9.0,19.0,12.0,25.0,15.88,1250.0,137142.0,1.0
19,20.0,10.0,12.0,13.0,17.0,13.0,38.0,14.37,1900.0,137142.0,1.0
0,18.0,9.0,20.0,3.0,14.0,11.0,12.0,14.99,600.0,137142.0,2.0
1,4.0,2.0,19.0,7.0,12.0,16.0,25.0,13.82,1250.0,137142.0,2.0
2,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137142.0,2.0
3,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137142.0,2.0
4,19.0,3.0,16.0,9.0,20.0,16.0,62.0,13.58,3100.0,137142.0,2.0
5,9.0,17.0,4.0,11.0,11.0,20.0,19.0,14.9,950.0,137142.0,2.0
6,18.0,20.0,20.0,5.0,20.0,20.0,12.0,15.67,600.0,137142.0,2.0
7,18.0,20.0,20.0,5.0,20.0,20.0,12.0,15.67,600.0,137142.0,2.0
8,18.0,20.0,20.0,5.0,20.0,20.0,12.0,15.67,600.0,137142.0,2.0
9,5.0,16.0,20.0,20.0,14.0,20.0,51.0,13.84,2550.0,137142.0,2.0
10,4.0,2.0,19.0,20.0,12.0,16.0,25.0,13.95,1250.0,137142.0,2.0
11,3.0,7.0,9.0,15.0,16.0,6.0,3.0,17.78,150.0,137142.0,2.0
12,3.0,7.0,9.0,15.0,16.0,6.0,3.0,17.78,150.0,137142.0,2.0
13,19.0,3.0,16.0,20.0,2.0,1.0,19.0,15.64,950.0,137142.0,2.0
14,17.0,7.0,4.0,20.0,11.0,20.0,35.0,13.99,1750.0,137142.0,2.0
15,19.0,20.0,20.0,20.0,20.0,6.0,3.0,18.83,150.0,137142.0,2.0
16,14.0,20.0,20.0,20.0,2.0,1.0,19.0,15.79,950.0,137142.0,2.0
17,14.0,20.0,20.0,20.0,2.0,1.0,19.0,15.79,950.0,137142.0,2.0
18,5.0,16.0,20.0,20.0,12.0,16.0,25.0,14.58,1250.0,137142.0,2.0
19,17.0,7.0,4.0,20.0,9.0,10.0,26.0,14.51,1300.0,137142.0,2.0
0,18.0,9.0,20.0,3.0,14.0,11.0,12.0,14.99,600.0,137329.5,3.0
1,4.0,2.0,19.0,7.0,12.0,16.0,25.0,13.82,1250.0,137329.5,3.0
2,4.0,2.0,19.0,7.0,12.0,16.0,25.0,13.82,1250.0,137329.5,3.0
3,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137329.5,3.0
4,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137329.5,3.0
5,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137329.5,3.0
6,20.0,7.0,20.0,12.0,16.0,6.0,3.0,17.45,150.0,137329.5,3.0
