idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,15,20,12,9,5,6,1,41.97,50.0,,0
1,3,9,7,13,9,11,6,40.47,300.0,,0
2,7,1,14,2,13,16,18,30.76,900.0,,0
3,12,8,19,3,14,8,13,35.8,650.0,,0
4,20,2,13,6,15,14,21,31.48,1050.0,,0
5,15,9,11,3,10,10,14,37.24,700.0,,0
6,15,7,13,7,19,1,49,33.74,2450.0,,0
7,1,8,14,4,20,1,16,37.9,800.0,,0
8,3,13,4,10,7,8,54,38.5,2700.0,,0
9,19,7,7,11,1,3,18,83.88,900.0,,0
10,18,1,17,3,19,16,69,47.39,3450.0,,0
11,17,2,1,13,18,14,64,59.99,3200.0,,0
12,19,19,3,12,4,19,47,359.03,2350.0,,0
13,20,11,1,14,4,7,29,4872.26,1450.0,,0
14,8,6,20,17,2,12,67,790.61,3350.0,,0
15,20,5,9,19,2,4,52,5231.08,2600.0,,0
16,6,8,2,4,5,17,76,2741.24,3800.0,,0
17,5,6,20,2,2,9,72,3691.97,3600.0,,0
18,11,17,15,20,3,11,71,14664.0,3550.0,,0
19,7,14,3,13,7,3,75,23213.98,3750.0,,0
0,3.0,9.0,7.0,13.0,9.0,11.0,6.0,40.47,300.0,74302.0,1.0
1,15.0,2.0,20.0,6.0,15.0,14.0,38.0,28.82,1900.0,74302.0,1.0
2,20.0,8.0,2.0,4.0,19.0,17.0,12.0,38.0,600.0,74302.0,1.0
3,7.0,1.0,19.0,3.0,14.0,8.0,13.0,30.54,650.0,74302.0,1.0
4,20.0,20.0,12.0,9.0,5.0,6.0,1.0,41.84,50.0,74302.0,1.0
5,20.0,7.0,13.0,7.0,20.0,1.0,49.0,29.42,2450.0,74302.0,1.0
6,7.0,1.0,14.0,2.0,13.0,16.0,18.0,30.76,900.0,74302.0,1.0
7,7.0,1.0,14.0,2.0,13.0,16.0,18.0,30.76,900.0,74302.0,1.0
8,12.0,8.0,19.0,3.0,14.0,8.0,13.0,35.8,650.0,74302.0,1.0
9,20.0,12.0,20.0,8.0,20.0,1.0,16.0,33.34,800.0,74302.0,1.0
10,15.0,20.0,12.0,9.0,5.0,6.0,1.0,41.97,50.0,74302.0,1.0
11,20.0,5.0,9.0,19.0,20.0,19.0,77.0,30.65,3850.0,74302.0,1.0
12,20.0,2.0,13.0,6.0,15.0,14.0,21.0,31.48,1050.0,74302.0,1.0
13,15.0,9.0,11.0,3.0,10.0,10.0,14.0,37.24,700.0,74302.0,1.0
14,15.0,9.0,11.0,3.0,10.0,10.0,14.0,37.24,700.0,74302.0,1.0
15,7.0,17.0,11.0,20.0,13.0,20.0,18.0,35.44,900.0,74302.0,1.0
