idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,2,6,4,12,16,8,49,34.67,2450.0,,0
1,7,6,6,10,11,7,70,33.97,3500.0,,0
2,6,2,9,1,12,13,3,40.25,150.0,,0
3,12,17,12,17,9,15,14,35.26,700.0,,0
4,19,12,10,2,14,3,27,34.93,1350.0,,0
5,18,3,10,11,10,6,11,35.47,550.0,,0
6,18,13,2,8,20,12,33,35.07,1650.0,,0
7,20,9,12,17,1,15,32,789.79,1600.0,,0
8,20,15,5,5,1,1,27,1480.98,1350.0,,0
9,11,17,20,12,5,11,36,41.04,1800.0,,0
10,7,6,7,13,10,1,47,77.97,2350.0,,0
11,14,6,5,9,3,11,39,14498.79,1950.0,,0
12,20,19,1,20,11,3,40,295.87,2000.0,,0
13,18,14,12,13,19,1,58,54.95,2900.0,,0
14,18,4,19,8,1,7,53,666.67,2650.0,,0
15,15,14,5,2,2,16,43,3039.38,2150.0,,0
16,12,10,16,11,6,16,61,1245.03,3050.0,,0
17,2,6,20,7,4,8,60,11925.09,3000.0,,0
18,5,10,16,6,2,3,77,5323.1,3850.0,,0
19,9,6,13,6,3,5,80,6913.26,4000.0,,0
0,6.0,2.0,9.0,1.0,12.0,13.0,3.0,40.25,150.0,66276.0,1.0
1,18.0,3.0,10.0,11.0,10.0,6.0,11.0,35.47,550.0,66276.0,1.0
2,20.0,15.0,20.0,5.0,20.0,1.0,46.0,30.02,2300.0,66276.0,1.0
3,20.0,9.0,20.0,17.0,16.0,20.0,33.0,32.63,1650.0,66276.0,1.0
4,6.0,2.0,20.0,17.0,20.0,15.0,14.0,34.4,700.0,66276.0,1.0
5,12.0,2.0,9.0,10.0,11.0,20.0,70.0,29.78,3500.0,66276.0,1.0
6,12.0,20.0,20.0,1.0,12.0,20.0,3.0,41.19,150.0,66276.0,1.0
7,7.0,6.0,6.0,1.0,12.0,13.0,3.0,41.19,150.0,66276.0,1.0
8,20.0,20.0,12.0,20.0,20.0,1.0,12.0,35.81,600.0,66276.0,1.0
