idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,4,11,1,1,1,18,2,41.74,100.0,,0
1,10,19,16,17,13,19,5,40.26,250.0,,0
2,8,1,7,18,18,8,52,28.42,2600.0,,0
3,20,1,8,6,18,19,24,30.57,1200.0,,0
4,16,13,7,4,16,1,50,30.95,2500.0,,0
5,13,7,14,1,17,8,57,30.58,2850.0,,0
6,10,1,14,18,4,6,38,44.75,1900.0,,0
7,4,11,17,14,17,7,39,32.62,1950.0,,0
8,13,12,16,1,16,2,40,32.37,2000.0,,0
9,17,12,19,12,15,9,71,31.78,3550.0,,0
10,7,17,14,16,12,14,45,32.93,2250.0,,0
11,5,19,3,9,4,16,58,1758.43,2900.0,,0
12,1,18,18,20,20,11,59,38.76,2950.0,,0
13,16,18,8,12,8,8,59,43.48,2950.0,,0
14,7,14,2,16,12,19,71,42.05,3550.0,,0
15,20,19,19,13,6,6,65,271.4,3250.0,,0
16,16,8,13,14,6,12,71,585.65,3550.0,,0
17,12,3,15,17,4,6,67,1410.29,3350.0,,0
18,14,20,1,15,9,8,76,2662.45,3800.0,,0
19,20,1,13,17,5,17,72,2888.24,3600.0,,0
0,4.0,11.0,1.0,1.0,1.0,18.0,2.0,41.74,100.0,68827.5,1.0
1,8.0,1.0,7.0,18.0,18.0,8.0,52.0,28.42,2600.0,68827.5,1.0
2,8.0,1.0,7.0,18.0,18.0,8.0,52.0,28.42,2600.0,68827.5,1.0
3,20.0,1.0,8.0,6.0,18.0,19.0,24.0,30.57,1200.0,68827.5,1.0
4,20.0,1.0,8.0,6.0,18.0,19.0,24.0,30.57,1200.0,68827.5,1.0
5,20.0,1.0,8.0,6.0,18.0,19.0,24.0,30.57,1200.0,68827.5,1.0
6,20.0,1.0,14.0,20.0,13.0,19.0,5.0,39.29,250.0,68827.5,1.0
7,10.0,19.0,16.0,17.0,20.0,19.0,2.0,41.96,100.0,68827.5,1.0
8,16.0,13.0,7.0,4.0,16.0,1.0,50.0,30.95,2500.0,68827.5,1.0
9,16.0,13.0,7.0,4.0,16.0,1.0,50.0,30.95,2500.0,68827.5,1.0
10,16.0,13.0,7.0,4.0,16.0,1.0,50.0,30.95,2500.0,68827.5,1.0
11,13.0,7.0,14.0,1.0,17.0,8.0,57.0,30.58,2850.0,68827.5,1.0
12,4.0,11.0,17.0,14.0,17.0,7.0,39.0,32.62,1950.0,68827.5,1.0
13,4.0,11.0,17.0,14.0,17.0,7.0,39.0,32.62,1950.0,68827.5,1.0
14,13.0,12.0,16.0,1.0,16.0,2.0,40.0,32.37,2000.0,68827.5,1.0
15,10.0,19.0,16.0,17.0,13.0,19.0,5.0,40.26,250.0,68827.5,1.0
