idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,19,3,16,9,2,1,19,17.27,950.0,,0
1,18,9,20,3,14,11,12,17.58,600.0,,0
2,4,2,19,7,12,16,25,16.25,1250.0,,0
3,20,10,12,13,17,13,38,16.19,1900.0,,0
4,3,7,9,15,16,6,3,20.5,150.0,,0
5,9,17,15,11,17,9,53,15.4,2650.0,,0
6,16,5,13,16,10,15,42,15.92,2100.0,,0
7,17,7,4,20,9,10,26,16.84,1300.0,,0
8,1,18,4,9,19,12,25,34.19,1250.0,,0
9,17,19,17,1,12,8,78,15.44,3900.0,,0
10,4,15,8,3,20,15,58,15.88,2900.0,,0
11,14,20,16,9,20,16,62,15.6,3100.0,,0
12,12,14,9,15,4,7,38,29.07,1900.0,,0
13,13,16,8,5,20,7,67,38.17,3350.0,,0
14,5,16,2,6,14,20,51,314.07,2550.0,,0
15,13,3,17,14,16,10,53,52.04,2650.0,,0
16,19,16,12,11,1,9,63,811.44,3150.0,,0
17,7,14,18,18,4,7,73,645.98,3650.0,,0
18,14,10,12,19,4,3,65,43670.28,3250.0,,0
19,1,7,6,1,11,18,80,2659.27,4000.0,,0
0,19.0,3.0,16.0,9.0,2.0,1.0,19.0,17.27,950.0,129044.5,1.0
1,18.0,9.0,20.0,3.0,14.0,11.0,12.0,17.58,600.0,129044.5,1.0
2,3.0,7.0,9.0,15.0,16.0,6.0,3.0,20.5,150.0,129044.5,1.0
3,9.0,17.0,15.0,11.0,17.0,9.0,53.0,15.4,2650.0,129044.5,1.0
4,9.0,17.0,15.0,11.0,17.0,9.0,53.0,15.4,2650.0,129044.5,1.0
5,9.0,17.0,15.0,11.0,17.0,9.0,53.0,15.4,2650.0,129044.5,1.0
6,20.0,2.0,20.0,12.0,12.0,16.0,25.0,15.92,1250.0,129044.5,1.0
7,18.0,9.0,20.0,3.0,14.0,11.0,35.0,15.74,1750.0,129044.5,1.0
8,17.0,19.0,20.0,1.0,12.0,20.0,51.0,15.61,2550.0,129044.5,1.0
9,13.0,16.0,20.0,20.0,17.0,13.0,38.0,15.73,1900.0,129044.5,1.0
10,16.0,5.0,13.0,16.0,10.0,6.0,3.0,20.64,150.0,129044.5,1.0
11,17.0,19.0,17.0,1.0,12.0,8.0,78.0,15.44,3900.0,129044.5,1.0
12,18.0,9.0,20.0,20.0,14.0,11.0,12.0,18.02,600.0,129044.5,1.0
13,4.0,2.0,19.0,7.0,12.0,16.0,25.0,16.25,1250.0,129044.5,1.0
14,16.0,5.0,13.0,16.0,10.0,15.0,42.0,15.92,2100.0,129044.5,1.0
15,20.0,10.0,12.0,13.0,17.0,13.0,38.0,16.19,1900.0,129044.5,1.0
16,4.0,15.0,8.0,3.0,20.0,15.0,58.0,15.88,2900.0,129044.5,1.0
17,20.0,10.0,12.0,19.0,20.0,17.0,65.0,15.59,3250.0,129044.5,1.0
18,14.0,20.0,16.0,9.0,20.0,16.0,62.0,15.6,3100.0,129044.5,1.0
19,4.0,15.0,8.0,3.0,20.0,15.0,58.0,15.88,2900.0,129044.5,1.0
