idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,13,17,12,18,15,17,35,14.47,1750.0,,0
1,17,6,18,6,8,8,4,17.35,200.0,,0
2,19,14,10,7,16,17,47,14.09,2350.0,,0
3,20,3,11,1,7,4,8,16.67,400.0,,0
4,2,12,12,6,8,1,11,16.08,550.0,,0
5,5,9,8,7,2,14,5,18.18,250.0,,0
6,6,11,6,5,17,17,47,14.46,2350.0,,0
7,4,3,1,2,1,12,33,245.65,1650.0,,0
8,20,7,20,2,19,6,56,15.18,2800.0,,0
9,17,18,6,15,14,17,47,15.22,2350.0,,0
10,2,3,3,12,6,10,33,333.26,1650.0,,0
11,2,1,12,15,11,13,55,124.72,2750.0,,0
12,12,15,15,12,19,18,59,15.26,2950.0,,0
13,19,12,12,15,6,13,60,20.74,3000.0,,0
14,17,8,16,9,16,17,66,16.1,3300.0,,0
15,16,8,11,6,20,9,62,24.25,3100.0,,0
16,10,10,17,18,17,17,79,71.15,3950.0,,0
17,19,2,9,19,8,4,67,424.79,3350.0,,0
18,5,6,6,17,1,13,76,4232.49,3800.0,,0
19,2,8,5,2,1,12,79,683.18,3950.0,,0
0,17.0,6.0,18.0,6.0,8.0,8.0,4.0,17.35,200.0,134038.0,1.0
1,17.0,6.0,18.0,6.0,8.0,8.0,4.0,17.35,200.0,134038.0,1.0
2,19.0,14.0,10.0,7.0,16.0,17.0,47.0,14.09,2350.0,134038.0,1.0
3,19.0,14.0,10.0,7.0,16.0,17.0,47.0,14.09,2350.0,134038.0,1.0
4,20.0,3.0,11.0,1.0,7.0,4.0,8.0,16.67,400.0,134038.0,1.0
5,2.0,12.0,12.0,6.0,8.0,1.0,11.0,16.08,550.0,134038.0,1.0
6,8.0,18.0,6.0,20.0,20.0,17.0,9.0,16.39,450.0,134038.0,1.0
7,20.0,11.0,6.0,5.0,20.0,20.0,33.0,14.21,1650.0,134038.0,1.0
8,20.0,8.0,11.0,6.0,20.0,17.0,17.0,15.0,850.0,134038.0,1.0
9,2.0,1.0,12.0,15.0,8.0,8.0,4.0,18.22,200.0,134038.0,1.0
