idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,10,16,12,19,7,17,18,32.72,900.0,,0
1,16,15,17,9,2,18,2,40.49,100.0,,0
2,14,19,9,15,16,12,11,37.19,550.0,,0
3,8,1,9,4,8,12,22,30.96,1100.0,,0
4,11,14,2,4,5,8,6,38.73,300.0,,0
5,11,3,7,19,8,8,19,33.07,950.0,,0
6,18,7,20,18,19,10,57,31.51,2850.0,,0
7,11,20,4,16,19,11,25,33.01,1250.0,,0
8,6,7,6,2,20,9,61,31.82,3050.0,,0
9,3,13,1,20,16,11,32,37.89,1600.0,,0
10,3,20,13,11,19,8,38,34.78,1900.0,,0
11,19,18,20,3,1,4,25,1392.88,1250.0,,0
12,4,12,14,11,20,7,71,33.05,3550.0,,0
13,13,14,2,9,17,16,52,35.11,2600.0,,0
14,4,10,18,10,4,18,43,4098.3,2150.0,,0
15,18,15,3,3,11,17,63,37.14,3150.0,,0
16,5,10,4,3,11,16,72,65.73,3600.0,,0
17,3,3,5,5,2,3,70,4265.57,3500.0,,0
18,13,17,9,17,8,7,76,270.46,3800.0,,0
19,10,5,4,20,9,18,78,34565.77,3900.0,,0
0,10.0,16.0,12.0,19.0,7.0,17.0,18.0,32.72,900.0,74166.0,1.0
1,16.0,15.0,17.0,9.0,2.0,18.0,2.0,40.49,100.0,74166.0,1.0
2,16.0,15.0,17.0,9.0,2.0,18.0,2.0,40.49,100.0,74166.0,1.0
3,8.0,1.0,9.0,4.0,8.0,12.0,22.0,30.96,1100.0,74166.0,1.0
4,11.0,14.0,2.0,4.0,5.0,8.0,6.0,38.73,300.0,74166.0,1.0
5,11.0,14.0,2.0,4.0,5.0,8.0,6.0,38.73,300.0,74166.0,1.0
6,11.0,14.0,2.0,4.0,5.0,8.0,6.0,38.73,300.0,74166.0,1.0
7,20.0,1.0,9.0,4.0,19.0,8.0,38.0,28.31,1900.0,74166.0,1.0
8,18.0,20.0,20.0,20.0,20.0,10.0,17.0,34.25,850.0,74166.0,1.0
9,10.0,16.0,9.0,15.0,16.0,12.0,11.0,35.26,550.0,74166.0,1.0
10,11.0,3.0,7.0,19.0,8.0,8.0,19.0,33.07,950.0,74166.0,1.0
11,20.0,16.0,12.0,20.0,7.0,20.0,24.0,32.35,1200.0,74166.0,1.0
12,18.0,7.0,20.0,18.0,19.0,10.0,57.0,31.51,2850.0,74166.0,1.0
13,11.0,20.0,20.0,8.0,19.0,11.0,74.0,30.32,3700.0,74166.0,1.0
14,14.0,19.0,12.0,19.0,20.0,20.0,18.0,35.16,900.0,74166.0,1.0
15,14.0,19.0,9.0,15.0,16.0,12.0,11.0,37.19,550.0,74166.0,1.0
16,18.0,7.0,20.0,18.0,19.0,10.0,19.0,33.49,950.0,74166.0,1.0
17,6.0,7.0,6.0,2.0,20.0,9.0,61.0,31.82,3050.0,74166.0,1.0
