idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen
83,16.0,6.0,17.0,18.0,5.0,18.0,25.0,6.45,0.0
84,19.0,11.0,16.0,14.0,20.0,7.0,16.0,6.36,0.0
85,8.0,13.0,8.0,9.0,19.0,17.0,16.0,5.99,0.0
86,18.0,18.0,10.0,12.0,19.0,15.0,38.0,6.46,0.0
87,9.0,16.0,19.0,7.0,20.0,11.0,23.0,6.02,0.0
88,5.0,19.0,19.0,5.0,11.0,14.0,12.0,6.01,0.0
89,14.0,9.0,18.0,20.0,7.0,20.0,19.0,6.05,0.0
90,17.0,13.0,5.0,8.0,13.0,6.0,5.0,6.46,0.0
91,13.0,17.0,17.0,19.0,8.0,13.0,27.0,6.11,0.0
92,14.0,11.0,7.0,6.0,7.0,13.0,24.0,6.45,0.0
93,15.0,8.0,12.0,10.0,7.0,18.0,23.0,5.96,0.0
94,14.0,9.0,11.0,8.0,18.0,17.0,22.0,5.96,0.0
95,14.0,19.0,16.0,9.0,10.0,8.0,49.0,6.25,0.0
96,8.0,17.0,17.0,19.0,9.0,14.0,27.0,6.17,0.0
97,20.0,18.0,11.0,20.0,20.0,15.0,36.0,6.36,0.0
98,6.0,19.0,14.0,9.0,20.0,6.0,44.0,6.07,0.0
99,11.0,5.0,16.0,20.0,17.0,5.0,38.0,5.72,0.0
