0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
3,4,17,14,20,11,60,29.28,3000,42.2,54072.51
11,4,20,20,20,20,41,29.86,2050,40.59,33941.3
20,20,17,14,20,2,34,30.87,1700,41.41,36787.41
11,10,20,16,19,20,31,30.93,1550,42.96,63050.55
3,4,17,14,20,3,22,31.35,1100,43.84,56633.29
3,4,17,14,6,11,20,31.88,1000,43.58,71549.6
20,4,20,1,20,20,17,32.51,850,46.25,119207.81
3,4,17,14,20,2,12,33.99,600,46.75,121874.61
11,10,20,16,19,20,9,35.26,450,48.4,103217.14
20,18,20,7,7,20,1,41.09,50,53.92,141507.28
