idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,6,2,9,1,12,13,3,40.17,150.0,,0
1,18,14,12,13,19,1,58,33.24,2900.0,,0
2,12,17,12,17,9,15,14,34.75,700.0,,0
3,19,12,10,2,14,3,27,33.65,1350.0,,0
4,18,3,10,11,10,6,11,34.82,550.0,,0
5,2,6,4,12,16,8,49,33.78,2450.0,,0
6,11,17,20,12,5,11,36,34.43,1800.0,,0
7,20,9,12,17,1,15,32,132.03,1600.0,,0
8,20,15,5,5,1,1,27,225.88,1350.0,,0
9,18,13,2,8,20,12,33,35.51,1650.0,,0
10,7,6,6,10,11,7,70,42.1,3500.0,,0
11,14,6,5,9,3,11,39,1197.7,1950.0,,0
12,20,19,1,20,11,3,40,1087.34,2000.0,,0
13,15,14,5,2,2,16,43,463.02,2150.0,,0
14,7,6,7,13,10,1,47,489.36,2350.0,,0
15,12,10,16,11,6,16,61,484.11,3050.0,,0
16,18,4,19,8,1,7,53,2939.32,2650.0,,0
17,2,6,20,7,4,8,60,1244.75,3000.0,,0
18,5,10,16,6,2,3,77,11665.0,3850.0,,0
19,9,6,13,6,3,5,80,15622.37,4000.0,,0
0,18.0,3.0,10.0,11.0,10.0,6.0,11.0,34.82,550.0,72477.0,1.0
1,20.0,2.0,20.0,1.0,20.0,13.0,46.0,27.22,2300.0,72477.0,1.0
2,6.0,20.0,9.0,1.0,12.0,13.0,3.0,39.67,150.0,72477.0,1.0
3,7.0,19.0,20.0,20.0,11.0,1.0,40.0,31.79,2000.0,72477.0,1.0
4,19.0,5.0,10.0,20.0,20.0,15.0,14.0,34.53,700.0,72477.0,1.0
5,12.0,17.0,12.0,17.0,14.0,3.0,27.0,31.81,1350.0,72477.0,1.0
6,2.0,6.0,4.0,12.0,16.0,6.0,11.0,35.9,550.0,72477.0,1.0
7,20.0,3.0,10.0,11.0,20.0,8.0,49.0,30.15,2450.0,72477.0,1.0
8,6.0,2.0,9.0,1.0,12.0,13.0,3.0,40.17,150.0,72477.0,1.0
9,12.0,17.0,12.0,17.0,9.0,15.0,14.0,34.75,700.0,72477.0,1.0
10,19.0,12.0,10.0,2.0,14.0,3.0,27.0,33.65,1350.0,72477.0,1.0
11,19.0,12.0,10.0,2.0,14.0,3.0,27.0,33.65,1350.0,72477.0,1.0
12,20.0,19.0,20.0,20.0,11.0,20.0,33.0,31.99,1650.0,72477.0,1.0
13,20.0,20.0,12.0,20.0,20.0,15.0,12.0,36.27,600.0,72477.0,1.0
14,7.0,6.0,12.0,13.0,19.0,1.0,58.0,30.4,2900.0,72477.0,1.0
15,18.0,14.0,20.0,17.0,20.0,15.0,14.0,35.77,700.0,72477.0,1.0
