idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,15,20,12,9,5,6,1,41.25,50.0,,0
1,3,9,7,13,9,11,6,38.49,300.0,,0
2,7,1,14,2,13,16,18,30.66,900.0,,0
3,15,7,13,7,19,1,49,30.53,2450.0,,0
4,12,8,19,3,14,8,13,33.9,650.0,,0
5,20,2,13,6,15,14,21,32.82,1050.0,,0
6,15,9,11,3,10,10,14,36.44,700.0,,0
7,18,1,17,3,19,16,69,35.22,3450.0,,0
8,1,8,14,4,20,1,16,36.7,800.0,,0
9,19,7,7,11,1,3,18,131.24,900.0,,0
10,20,11,1,14,4,7,29,527.01,1450.0,,0
11,17,2,1,13,18,14,64,504.83,3200.0,,0
12,20,5,9,19,2,4,52,964.82,2600.0,,0
13,19,19,3,12,4,19,47,1250.05,2350.0,,0
14,11,17,15,20,3,11,71,2631.48,3550.0,,0
15,3,13,4,10,7,8,54,2997.53,2700.0,,0
16,5,6,20,2,2,9,72,1847.09,3600.0,,0
17,8,6,20,17,2,12,67,13201.78,3350.0,,0
18,6,8,2,4,5,17,76,2124.37,3800.0,,0
19,7,14,3,13,7,3,75,3182.16,3750.0,,0
0,15.0,20.0,12.0,9.0,5.0,6.0,1.0,41.25,50.0,72392.0,1.0
1,3.0,9.0,7.0,13.0,9.0,11.0,6.0,38.49,300.0,72392.0,1.0
2,7.0,1.0,14.0,2.0,13.0,16.0,18.0,30.66,900.0,72392.0,1.0
3,15.0,7.0,13.0,7.0,19.0,1.0,49.0,30.53,2450.0,72392.0,1.0
4,15.0,7.0,13.0,7.0,19.0,1.0,49.0,30.53,2450.0,72392.0,1.0
5,12.0,8.0,19.0,3.0,14.0,8.0,13.0,33.9,650.0,72392.0,1.0
6,12.0,2.0,20.0,13.0,18.0,20.0,64.0,28.16,3200.0,72392.0,1.0
7,20.0,6.0,2.0,2.0,19.0,9.0,12.0,36.5,600.0,72392.0,1.0
8,19.0,20.0,12.0,9.0,5.0,6.0,1.0,41.33,50.0,72392.0,1.0
9,15.0,20.0,12.0,9.0,15.0,14.0,21.0,32.51,1050.0,72392.0,1.0
10,15.0,8.0,20.0,3.0,14.0,8.0,38.0,30.7,1900.0,72392.0,1.0
11,17.0,8.0,19.0,3.0,9.0,12.0,13.0,35.37,650.0,72392.0,1.0
12,12.0,7.0,11.0,3.0,20.0,10.0,14.0,34.55,700.0,72392.0,1.0
13,7.0,17.0,11.0,20.0,13.0,20.0,18.0,34.17,900.0,72392.0,1.0
14,18.0,1.0,17.0,20.0,20.0,16.0,69.0,28.54,3450.0,72392.0,1.0
15,20.0,2.0,13.0,6.0,5.0,6.0,1.0,41.72,50.0,72392.0,1.0
16,20.0,12.0,20.0,8.0,20.0,16.0,69.0,30.3,3450.0,72392.0,1.0
17,20.0,19.0,9.0,12.0,20.0,19.0,47.0,31.16,2350.0,72392.0,1.0
18,20.0,2.0,13.0,6.0,15.0,14.0,21.0,32.82,1050.0,72392.0,1.0
19,15.0,9.0,11.0,3.0,10.0,10.0,14.0,36.44,700.0,72392.0,1.0
0,7.0,1.0,14.0,2.0,13.0,16.0,18.0,30.66,900.0,73327.0,2.0
1,15.0,7.0,13.0,7.0,19.0,1.0,49.0,30.53,2450.0,73327.0,2.0
2,15.0,7.0,13.0,7.0,19.0,1.0,49.0,30.53,2450.0,73327.0,2.0
3,12.0,2.0,20.0,13.0,18.0,20.0,64.0,28.16,3200.0,73327.0,2.0
4,7.0,1.0,14.0,2.0,5.0,6.0,1.0,41.2,50.0,73327.0,2.0
5,20.0,12.0,20.0,8.0,20.0,11.0,6.0,37.37,300.0,73327.0,2.0
6,12.0,2.0,19.0,3.0,9.0,12.0,13.0,32.14,650.0,73327.0,2.0
7,20.0,12.0,2.0,8.0,19.0,16.0,12.0,33.57,600.0,73327.0,2.0
8,15.0,8.0,20.0,3.0,14.0,8.0,38.0,30.7,1900.0,73327.0,2.0
