idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,20,13,14,13,19,15,18,34.13,900.0,,0
1,14,10,14,17,13,19,45,31.28,2250.0,,0
2,18,19,14,19,8,11,4,39.71,200.0,,0
3,4,7,19,9,10,4,9,37.95,450.0,,0
4,4,20,17,9,14,8,39,33.78,1950.0,,0
5,14,9,17,10,18,11,2,41.22,100.0,,0
6,9,5,2,11,11,12,18,35.13,900.0,,0
7,8,19,18,5,12,20,61,31.83,3050.0,,0
8,8,7,16,18,18,16,51,32.05,2550.0,,0
9,5,8,5,17,13,1,9,38.92,450.0,,0
10,16,16,3,12,3,14,20,36.56,1000.0,,0
11,19,3,20,1,16,9,71,32.95,3550.0,,0
12,13,13,15,17,13,20,72,32.64,3600.0,,0
13,17,8,2,10,1,3,14,44.89,700.0,,0
14,9,20,6,11,18,19,73,32.88,3650.0,,0
15,12,4,2,5,16,7,34,45.54,1700.0,,0
16,20,2,13,19,11,18,36,48.96,1800.0,,0
17,6,19,2,10,1,9,61,16628.03,3050.0,,0
18,20,18,2,7,14,10,79,2122.75,3950.0,,0
19,1,10,14,14,4,2,78,4044.14,3900.0,,0
0,20.0,13.0,14.0,13.0,19.0,15.0,18.0,34.13,900.0,68141.0,1.0
1,18.0,19.0,14.0,19.0,8.0,11.0,4.0,39.71,200.0,68141.0,1.0
2,14.0,9.0,17.0,10.0,18.0,11.0,2.0,41.22,100.0,68141.0,1.0
3,19.0,3.0,9.0,13.0,19.0,15.0,9.0,37.81,450.0,68141.0,1.0
4,3.0,4.0,20.0,20.0,20.0,20.0,34.0,30.07,1700.0,68141.0,1.0
5,14.0,4.0,17.0,10.0,20.0,20.0,24.0,32.79,1200.0,68141.0,1.0
6,20.0,5.0,20.0,11.0,11.0,20.0,18.0,34.82,900.0,68141.0,1.0
7,8.0,7.0,16.0,18.0,18.0,11.0,2.0,41.62,100.0,68141.0,1.0
8,4.0,7.0,19.0,9.0,10.0,4.0,9.0,37.95,450.0,68141.0,1.0
9,4.0,7.0,19.0,9.0,10.0,4.0,9.0,37.95,450.0,68141.0,1.0
10,20.0,20.0,17.0,9.0,14.0,8.0,42.0,32.4,2100.0,68141.0,1.0
11,20.0,10.0,14.0,17.0,20.0,6.0,45.0,31.12,2250.0,68141.0,1.0
12,20.0,13.0,20.0,20.0,16.0,20.0,36.0,32.92,1800.0,68141.0,1.0
13,9.0,5.0,2.0,11.0,11.0,12.0,18.0,35.13,900.0,68141.0,1.0
14,5.0,8.0,5.0,17.0,13.0,1.0,9.0,38.92,450.0,68141.0,1.0
15,5.0,8.0,5.0,17.0,13.0,1.0,9.0,38.92,450.0,68141.0,1.0
16,14.0,10.0,14.0,17.0,13.0,19.0,45.0,31.28,2250.0,68141.0,1.0
17,18.0,8.0,20.0,17.0,20.0,1.0,65.0,31.21,3250.0,68141.0,1.0
18,4.0,20.0,17.0,9.0,14.0,8.0,39.0,33.78,1950.0,68141.0,1.0
19,17.0,8.0,2.0,10.0,1.0,3.0,14.0,44.89,700.0,68141.0,1.0
0,20.0,13.0,14.0,13.0,19.0,15.0,18.0,34.13,900.0,69936.0,2.0
1,18.0,19.0,14.0,19.0,8.0,11.0,4.0,39.71,200.0,69936.0,2.0
2,3.0,4.0,20.0,20.0,20.0,20.0,34.0,30.07,1700.0,69936.0,2.0
3,3.0,4.0,20.0,20.0,20.0,20.0,34.0,30.07,1700.0,69936.0,2.0
4,3.0,4.0,16.0,18.0,18.0,11.0,2.0,40.36,100.0,69936.0,2.0
5,3.0,5.0,20.0,20.0,20.0,20.0,9.0,36.81,450.0,69936.0,2.0
6,4.0,4.0,19.0,9.0,20.0,20.0,24.0,30.48,1200.0,69936.0,2.0
7,20.0,8.0,20.0,20.0,11.0,1.0,17.0,34.73,850.0,69936.0,2.0
8,14.0,9.0,17.0,10.0,18.0,11.0,2.0,41.22,100.0,69936.0,2.0
9,14.0,9.0,17.0,10.0,18.0,11.0,2.0,41.22,100.0,69936.0,2.0
10,20.0,10.0,19.0,9.0,10.0,4.0,9.0,37.14,450.0,69936.0,2.0
11,14.0,4.0,17.0,10.0,20.0,20.0,24.0,32.79,1200.0,69936.0,2.0
12,20.0,10.0,14.0,20.0,19.0,20.0,36.0,31.03,1800.0,69936.0,2.0
13,20.0,5.0,20.0,11.0,11.0,20.0,18.0,34.82,900.0,69936.0,2.0
14,20.0,5.0,20.0,11.0,11.0,20.0,18.0,34.82,900.0,69936.0,2.0
15,8.0,7.0,16.0,18.0,18.0,11.0,2.0,41.62,100.0,69936.0,2.0
