0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
4,2,20,20,11,20,35,13.57,1750,15.24,389.83
4,2,19,7,12,16,25,13.82,1250,16.76,567.67
4,2,20,20,12,16,19,14.14,950,17.28,504.86
4,2,20,20,12,16,12,14.73,600,18.34,636.38
4,2,19,7,16,6,3,17.18,150,20.71,908.41
