0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
14,11,20,20,20,5,47,13.7,2350,16.59,449.87
20,6,17,6,8,20,44,13.96,2200,17.29,608.68
20,6,20,6,12,13,30,14.13,1500,17.11,454.89
20,11,18,6,20,20,17,14.77,850,16.8,484.03
20,6,20,6,8,17,13,14.97,650,17.87,586.28
17,3,18,2,20,14,7,15.79,350,20.2,781.04
20,6,18,6,8,20,4,16.52,200,19.56,834.61
