idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,2,3,3,12,6,10,33,37.19,1650.0,,0
1,20,7,20,2,19,6,56,30.06,2800.0,,0
2,13,17,12,18,15,17,35,33.48,1750.0,,0
3,17,6,18,6,8,8,4,40.2,200.0,,0
4,6,11,6,5,17,17,47,31.35,2350.0,,0
5,20,3,11,1,7,4,8,37.52,400.0,,0
6,5,9,8,7,2,14,5,39.3,250.0,,0
7,12,15,15,12,19,18,59,30.68,2950.0,,0
8,19,14,10,7,16,17,47,31.63,2350.0,,0
9,2,12,12,6,8,1,11,37.78,550.0,,0
10,16,8,11,6,20,9,62,30.8,3100.0,,0
11,17,18,6,15,14,17,47,33.16,2350.0,,0
12,4,3,1,2,1,12,33,998.47,1650.0,,0
13,17,8,16,9,16,17,66,33.09,3300.0,,0
14,10,10,17,18,17,17,79,32.52,3950.0,,0
15,2,1,12,15,11,13,55,40.63,2750.0,,0
16,19,12,12,15,6,13,60,1206.61,3000.0,,0
17,19,2,9,19,8,4,67,722.31,3350.0,,0
18,5,6,6,17,1,13,76,1808.06,3800.0,,0
19,2,8,5,2,1,12,79,846.86,3950.0,,0
0,20.0,7.0,20.0,2.0,19.0,6.0,56.0,30.06,2800.0,66723.5,1.0
1,20.0,7.0,20.0,2.0,19.0,6.0,56.0,30.06,2800.0,66723.5,1.0
2,17.0,6.0,18.0,6.0,8.0,8.0,4.0,40.2,200.0,66723.5,1.0
3,20.0,3.0,11.0,1.0,7.0,4.0,8.0,37.52,400.0,66723.5,1.0
4,5.0,9.0,8.0,7.0,2.0,14.0,5.0,39.3,250.0,66723.5,1.0
5,20.0,7.0,20.0,2.0,14.0,17.0,47.0,31.17,2350.0,66723.5,1.0
6,6.0,7.0,20.0,5.0,17.0,17.0,35.0,31.55,1750.0,66723.5,1.0
7,8.0,12.0,12.0,20.0,20.0,1.0,9.0,36.73,450.0,66723.5,1.0
8,4.0,20.0,20.0,2.0,8.0,20.0,32.0,32.7,1600.0,66723.5,1.0
9,20.0,1.0,12.0,15.0,20.0,17.0,17.0,33.16,850.0,66723.5,1.0
10,12.0,15.0,15.0,12.0,19.0,18.0,59.0,30.68,2950.0,66723.5,1.0
11,20.0,3.0,11.0,1.0,7.0,20.0,8.0,37.93,400.0,66723.5,1.0
12,6.0,11.0,6.0,5.0,17.0,17.0,47.0,31.35,2350.0,66723.5,1.0
13,2.0,12.0,12.0,6.0,8.0,1.0,11.0,37.78,550.0,66723.5,1.0
14,20.0,12.0,12.0,6.0,20.0,20.0,33.0,32.85,1650.0,66723.5,1.0
15,16.0,8.0,11.0,6.0,20.0,9.0,62.0,30.8,3100.0,66723.5,1.0
16,16.0,8.0,11.0,6.0,20.0,9.0,62.0,30.8,3100.0,66723.5,1.0
17,2.0,3.0,20.0,12.0,6.0,2.0,33.0,35.9,1650.0,66723.5,1.0
18,13.0,17.0,12.0,18.0,15.0,17.0,35.0,33.48,1750.0,66723.5,1.0
19,19.0,14.0,10.0,7.0,16.0,17.0,47.0,31.63,2350.0,66723.5,1.0
0,17.0,6.0,18.0,6.0,8.0,8.0,4.0,40.2,200.0,67662.5,2.0
1,17.0,6.0,18.0,6.0,8.0,8.0,4.0,40.2,200.0,67662.5,2.0
2,20.0,3.0,11.0,1.0,7.0,4.0,8.0,37.52,400.0,67662.5,2.0
3,5.0,9.0,8.0,7.0,2.0,14.0,5.0,39.3,250.0,67662.5,2.0
4,20.0,7.0,20.0,2.0,14.0,17.0,47.0,31.17,2350.0,67662.5,2.0
5,8.0,12.0,12.0,20.0,20.0,1.0,9.0,36.73,450.0,67662.5,2.0
6,20.0,1.0,12.0,15.0,20.0,17.0,17.0,33.16,850.0,67662.5,2.0
7,20.0,1.0,12.0,15.0,20.0,17.0,17.0,33.16,850.0,67662.5,2.0
8,20.0,7.0,20.0,2.0,19.0,2.0,56.0,29.49,2800.0,67662.5,2.0
9,20.0,7.0,20.0,2.0,19.0,6.0,35.0,31.32,1750.0,67662.5,2.0
