,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,archt_score,fitness_gd,rank_elm,rank_gd,rank_test,rank_score
52,52,4.0,18.0,16.0,16.0,11.0,11.0,16.0,13.93,0.0,6.397654014325261,7.07,38,39,16,37
53,53,16.0,4.0,16.0,14.0,2.0,10.0,43.0,16.05,0.0,6.372670369864325,8.79,72,63,38,33
54,54,5.0,6.0,19.0,13.0,3.0,3.0,11.0,13.86,0.0,6.733115115964171,14.46,37,88,93,64
55,55,7.0,8.0,2.0,13.0,1.0,4.0,51.0,15.96,0.0,8.312564878376818,16.91,70,93,95,98
56,56,18.0,17.0,10.0,15.0,16.0,19.0,92.0,13.21,0.0,5.926079105846712,7.13,19,40,6,3
57,57,7.0,14.0,3.0,12.0,8.0,9.0,75.0,13.29,0.0,7.199402624176967,6.44,20,27,46,85
58,58,6.0,14.0,7.0,12.0,4.0,3.0,90.0,14.01,0.0,7.088535214691031,7.5,40,43,81,81
59,59,1.0,17.0,15.0,7.0,4.0,16.0,51.0,17.64,0.0,7.314130281642438,9.14,91,66,78,90
60,60,9.0,7.0,2.0,7.0,20.0,5.0,14.0,16.7,0.0,6.683272118872118,9.21,82,68,36,57
61,61,7.0,15.0,13.0,12.0,18.0,5.0,14.0,13.6,0.0,6.153641844492296,6.15,25,18,21,13
62,62,20.0,16.0,5.0,19.0,13.0,14.0,67.0,12.74,0.0,6.0762788618221055,6.34,6,25,3,8
63,63,16.0,11.0,16.0,16.0,7.0,18.0,79.0,13.95,0.0,6.234019143145655,6.03,39,14,52,21
64,64,8.0,1.0,11.0,11.0,11.0,2.0,68.0,15.11,0.0,6.752816210589117,14.28,64,87,73,65
65,65,5.0,9.0,20.0,5.0,13.0,19.0,38.0,13.69,0.0,6.252400524232058,6.11,30,15,50,24
66,66,16.0,3.0,3.0,17.0,2.0,3.0,29.0,17.58,0.0,7.432381673385777,10.78,90,76,76,91
67,67,5.0,2.0,10.0,1.0,15.0,11.0,21.0,14.64,0.0,6.813994126887788,11.9,49,80,79,72
68,68,5.0,15.0,12.0,17.0,13.0,17.0,65.0,13.07,0.0,6.352430930258332,5.96,13,11,53,29
69,69,2.0,19.0,3.0,17.0,20.0,3.0,96.0,12.85,0.0,6.712001424929386,7.07,9,38,68,60
70,70,14.0,7.0,10.0,18.0,20.0,14.0,62.0,12.68,0.0,5.976964846551135,5.81,5,7,1,4
71,71,13.0,20.0,19.0,8.0,1.0,1.0,95.0,16.25,0.0,6.234332050036975,8.09,75,50,64,22
72,72,6.0,10.0,17.0,19.0,9.0,11.0,9.0,16.27,0.0,6.235627302131859,6.34,76,26,29,23
73,73,16.0,9.0,10.0,14.0,13.0,13.0,8.0,14.72,0.0,6.1160924795813765,5.88,51,9,14,11
74,74,6.0,5.0,8.0,10.0,11.0,2.0,5.0,17.13,0.0,6.870097368467084,13.51,86,86,87,75
75,75,16.0,14.0,5.0,16.0,20.0,3.0,87.0,13.49,0.0,6.150799986198631,6.31,24,23,9,12
76,76,5.0,12.0,14.0,2.0,20.0,15.0,50.0,12.5,0.0,6.203957019039637,6.31,4,24,26,19
77,77,15.0,2.0,4.0,16.0,5.0,1.0,5.0,16.07,0.0,7.28736528490032,11.07,73,77,66,89
78,78,20.0,20.0,5.0,11.0,4.0,18.0,84.0,13.71,0.0,6.46396671393821,5.85,31,8,48,43
79,79,12.0,7.0,13.0,16.0,4.0,2.0,79.0,13.8,0.0,6.403534536656539,9.02,35,65,77,38
80,80,15.0,20.0,11.0,4.0,20.0,10.0,17.0,13.73,0.0,6.006484192613022,6.57,32,31,37,5
81,81,13.0,10.0,4.0,17.0,7.0,2.0,51.0,12.79,0.0,6.75834819865337,6.49,7,30,56,66
82,82,15.0,12.0,7.0,15.0,12.0,3.0,6.0,17.04,0.0,6.355815361425785,7.89,85,47,75,30
83,83,2.0,16.0,9.0,1.0,17.0,19.0,74.0,14.98,0.0,6.725453113586319,8.77,59,62,32,62
84,84,7.0,8.0,3.0,17.0,17.0,14.0,65.0,14.31,0.0,6.631248229136483,7.31,44,41,8,55
85,85,10.0,4.0,5.0,14.0,19.0,14.0,11.0,14.81,0.0,6.454845021463903,8.88,53,64,19,42
86,86,4.0,14.0,3.0,4.0,14.0,5.0,94.0,15.28,0.0,6.978408632821383,9.32,65,70,69,78
87,87,1.0,15.0,14.0,14.0,1.0,16.0,42.0,19.02,0.0,7.237067941394967,13.11,97,85,90,86
88,88,9.0,3.0,12.0,3.0,4.0,12.0,89.0,14.91,0.0,6.801711057686177,8.67,58,59,31,69
89,89,1.0,12.0,12.0,6.0,1.0,8.0,47.0,17.81,0.0,8.295537245474138,18.89,93,98,97,97
90,90,3.0,20.0,5.0,7.0,1.0,7.0,85.0,14.81,0.0,8.063319185512967,14.79,54,90,84,96
91,91,4.0,1.0,10.0,12.0,1.0,20.0,30.0,18.96,0.0,7.866943337262308,18.85,96,97,99,95
92,92,5.0,6.0,15.0,4.0,16.0,12.0,91.0,13.19,0.0,6.376886934959168,5.68,18,5,45,34
93,93,9.0,5.0,1.0,7.0,12.0,11.0,61.0,16.58,0.0,7.247806935540055,9.3,81,69,65,87
94,94,10.0,10.0,18.0,11.0,6.0,19.0,11.0,16.13,0.0,6.260924527800795,8.34,74,55,18,25
95,95,4.0,18.0,19.0,10.0,6.0,13.0,19.0,14.83,0.0,6.386728851811502,8.33,55,54,13,35
96,96,5.0,8.0,11.0,17.0,8.0,8.0,97.0,12.34,0.0,6.614911462701423,8.2,2,52,49,53
97,97,6.0,10.0,12.0,14.0,2.0,5.0,77.0,13.62,0.0,6.805752089980911,8.62,28,58,63,70
98,98,1.0,13.0,3.0,3.0,5.0,14.0,39.0,19.91,0.0,9.452751918880733,17.35,100,94,92,100
99,99,18.0,14.0,5.0,19.0,14.0,10.0,82.0,13.6,0.0,6.19648412231093,6.29,26,21,51,18
