0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
18,16,20,18,20,11,65,13.78,3250,16.03,488.19
3,7,20,20,20,20,51,13.82,2550,16.92,562.41
14,10,14,17,13,19,45,13.84,2250,17.28,599.74
20,16,16,13,19,15,42,13.9,2100,15.87,417.17
3,7,20,20,16,20,36,13.93,1800,17.36,625.92
3,4,16,20,20,20,24,14.42,1200,17.8,593.7
20,16,20,20,11,7,17,14.73,850,16.95,692.22
3,4,20,18,18,20,12,15.41,600,18.6,630.76
3,4,16,20,20,20,9,15.53,450,18.19,563.17
3,4,16,20,16,7,4,17.07,200,20.24,1133.51
16,16,16,18,18,11,2,18.64,100,21.64,1355.05
