idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen
0,8.0,8.0,9.0,14.0,10.0,13.0723,1.0
1,8.0,19.0,9.0,9.0,2.0,13.0844,1.0
2,10.0,7.0,9.0,5.0,10.0,12.8406,1.0
3,10.0,5.0,5.0,4.0,3.0,13.041,1.0
4,6.0,7.0,10.0,18.0,1.0,13.004,1.0
5,6.0,16.0,9.0,4.0,12.0,13.1526,1.0
6,7.0,11.0,10.0,7.0,18.0,13.3603,1.0
7,8.0,15.0,9.0,9.0,2.0,12.6147,1.0
8,10.0,13.0,10.0,16.0,12.0,12.8467,1.0
9,10.0,16.0,6.0,8.0,11.0,12.9404,1.0
10,10.0,18.0,8.0,7.0,3.0,12.7072,1.0
11,9.0,1.0,2.0,20.0,1.0,13.7663,1.0
12,6.0,17.0,8.0,4.0,10.0,13.425,1.0
13,9.0,10.0,2.0,10.0,6.0,14.234,1.0
14,8.0,1.0,10.0,2.0,18.0,12.7117,1.0
15,5.0,15.0,2.0,20.0,13.0,16.2854,1.0
16,6.0,19.0,4.0,10.0,6.0,14.3815,1.0
17,1.0,3.0,9.0,20.0,13.0,15.9016,1.0
18,8.0,3.0,2.0,5.0,5.0,15.0999,1.0
19,10.0,6.0,1.0,20.0,9.0,16.8667,1.0
0,8.0,15.0,9.0,9.0,3.0,12.8971,2.0
1,10.0,18.0,8.0,7.0,2.0,12.8974,2.0
2,8.0,1.0,10.0,2.0,18.0,12.7117,2.0
3,10.0,7.0,9.0,5.0,10.0,12.8406,2.0
4,6.0,7.0,10.0,18.0,1.0,13.004,2.0
5,10.0,16.0,6.0,8.0,11.0,12.9404,2.0
6,6.0,10.0,6.0,13.0,3.0,13.114,2.0
7,8.0,15.0,9.0,9.0,2.0,12.6147,2.0
8,8.0,8.0,9.0,9.0,2.0,12.7336,2.0
9,10.0,16.0,6.0,8.0,11.0,12.9404,2.0
10,10.0,18.0,8.0,7.0,3.0,12.7072,2.0
11,7.0,11.0,10.0,7.0,12.0,12.9969,2.0
12,6.0,17.0,8.0,4.0,10.0,13.425,2.0
13,9.0,1.0,2.0,20.0,1.0,13.7663,2.0
14,8.0,1.0,10.0,2.0,18.0,12.7117,2.0
15,10.0,9.0,10.0,13.0,6.0,12.6238,2.0
16,8.0,3.0,9.0,20.0,13.0,13.2766,2.0
17,1.0,3.0,9.0,20.0,13.0,15.9016,2.0
