0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
20,1,12,2,20,20,62,25.89,3100,34.58,30284.49
20,1,17,2,20,8,44,26.43,2200,34.02,49077.23
2,1,13,2,20,16,30,26.45,1500,35.52,31506.32
20,1,12,2,20,8,17,28.22,850,38.17,72118.06
2,1,20,2,11,17,13,30.48,650,39.9,46531.84
2,1,12,2,11,14,7,33.43,350,43.15,58852.53
2,1,12,2,11,8,4,37.17,200,48.05,207800.09
