idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,11,5,13,2,3,18,13,15.37,650.0,,0
1,12,19,2,17,7,2,12,15.61,600.0,,0
2,3,4,17,14,6,11,20,14.75,1000.0,,0
3,11,12,20,16,19,15,9,16.23,450.0,,0
4,5,8,13,13,16,3,22,14.6,1100.0,,0
5,9,14,12,13,8,5,11,15.92,550.0,,0
6,19,13,2,8,2,18,18,15.6,900.0,,0
7,16,14,2,3,18,19,41,15.05,2050.0,,0
8,4,18,3,19,2,20,27,34.92,1350.0,,0
9,18,6,4,19,19,7,48,16.69,2400.0,,0
10,16,18,14,11,15,19,59,15.68,2950.0,,0
11,10,17,16,11,15,10,78,15.17,3900.0,,0
12,10,14,5,18,4,19,40,44.74,2000.0,,0
13,6,20,4,16,2,7,37,84.66,1850.0,,0
14,14,14,3,8,3,18,55,663.01,2750.0,,0
15,12,10,8,6,8,3,74,161.75,3700.0,,0
16,15,10,13,12,1,15,46,825.68,2300.0,,0
17,2,19,4,8,19,2,74,440.72,3700.0,,0
18,15,13,18,9,5,14,71,1079.68,3550.0,,0
19,3,9,16,3,2,10,74,982.53,3700.0,,0
0,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,126647.0,1.0
1,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,126647.0,1.0
2,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,126647.0,1.0
3,3.0,4.0,17.0,14.0,6.0,11.0,20.0,14.75,1000.0,126647.0,1.0
4,3.0,4.0,17.0,14.0,6.0,11.0,20.0,14.75,1000.0,126647.0,1.0
5,5.0,8.0,13.0,13.0,16.0,3.0,22.0,14.6,1100.0,126647.0,1.0
6,9.0,14.0,12.0,13.0,8.0,5.0,11.0,15.92,550.0,126647.0,1.0
7,12.0,19.0,20.0,17.0,7.0,20.0,12.0,15.51,600.0,126647.0,1.0
8,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,126647.0,1.0
9,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,126647.0,1.0
10,20.0,6.0,20.0,19.0,19.0,20.0,23.0,14.46,1150.0,126647.0,1.0
11,9.0,20.0,20.0,20.0,8.0,5.0,17.0,15.37,850.0,126647.0,1.0
12,12.0,19.0,2.0,17.0,7.0,2.0,12.0,15.61,600.0,126647.0,1.0
13,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,126647.0,1.0
14,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,126647.0,1.0
15,20.0,8.0,20.0,20.0,16.0,3.0,10.0,16.21,500.0,126647.0,1.0
16,16.0,14.0,2.0,3.0,20.0,20.0,41.0,14.7,2050.0,126647.0,1.0
17,19.0,13.0,2.0,8.0,2.0,18.0,18.0,15.6,900.0,126647.0,1.0
18,19.0,13.0,2.0,8.0,2.0,18.0,18.0,15.6,900.0,126647.0,1.0
19,16.0,14.0,2.0,3.0,18.0,19.0,41.0,15.05,2050.0,126647.0,1.0
0,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,137612.5,2.0
1,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,137612.5,2.0
2,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,137612.5,2.0
3,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,137612.5,2.0
4,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,137612.5,2.0
5,20.0,6.0,20.0,19.0,19.0,20.0,23.0,14.46,1150.0,137612.5,2.0
6,20.0,6.0,20.0,19.0,19.0,20.0,23.0,14.46,1150.0,137612.5,2.0
7,3.0,10.0,17.0,14.0,6.0,20.0,20.0,14.58,1000.0,137612.5,2.0
8,20.0,4.0,17.0,14.0,6.0,5.0,11.0,15.39,550.0,137612.5,2.0
9,16.0,14.0,2.0,20.0,16.0,3.0,10.0,15.95,500.0,137612.5,2.0
10,20.0,8.0,9.0,3.0,18.0,20.0,1.0,22.75,50.0,137612.5,2.0
11,19.0,13.0,2.0,8.0,8.0,5.0,17.0,15.3,850.0,137612.5,2.0
12,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,137612.5,2.0
13,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,137612.5,2.0
14,20.0,20.0,20.0,8.0,20.0,20.0,64.0,14.2,3200.0,137612.5,2.0
15,11.0,12.0,20.0,16.0,19.0,20.0,41.0,14.36,2050.0,137612.5,2.0
16,9.0,20.0,20.0,20.0,8.0,5.0,17.0,15.37,850.0,137612.5,2.0
17,11.0,12.0,20.0,16.0,19.0,20.0,37.0,14.51,1850.0,137612.5,2.0
18,5.0,8.0,13.0,13.0,16.0,3.0,22.0,14.6,1100.0,137612.5,2.0
19,9.0,14.0,12.0,13.0,8.0,5.0,11.0,15.92,550.0,137612.5,2.0
0,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138413.0,3.0
1,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138413.0,3.0
2,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138413.0,3.0
3,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138413.0,3.0
4,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138413.0,3.0
5,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138413.0,3.0
6,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138413.0,3.0
7,3.0,10.0,17.0,14.0,6.0,20.0,20.0,14.58,1000.0,138413.0,3.0
8,20.0,4.0,17.0,14.0,6.0,5.0,11.0,15.39,550.0,138413.0,3.0
9,16.0,14.0,2.0,20.0,16.0,3.0,10.0,15.95,500.0,138413.0,3.0
10,20.0,20.0,20.0,8.0,20.0,20.0,1.0,21.21,50.0,138413.0,3.0
11,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138413.0,3.0
12,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138413.0,3.0
13,20.0,12.0,20.0,1.0,19.0,20.0,41.0,14.08,2050.0,138413.0,3.0
14,20.0,8.0,9.0,3.0,18.0,20.0,1.0,22.75,50.0,138413.0,3.0
15,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,138413.0,3.0
16,20.0,6.0,20.0,19.0,19.0,20.0,23.0,14.46,1150.0,138413.0,3.0
17,20.0,20.0,20.0,19.0,19.0,20.0,17.0,15.15,850.0,138413.0,3.0
18,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,138413.0,3.0
19,5.0,8.0,13.0,13.0,16.0,3.0,22.0,14.6,1100.0,138413.0,3.0
0,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138749.0,4.0
1,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138749.0,4.0
2,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138749.0,4.0
3,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138749.0,4.0
4,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138749.0,4.0
5,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138749.0,4.0
6,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138749.0,4.0
7,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138749.0,4.0
8,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138749.0,4.0
9,3.0,10.0,17.0,14.0,6.0,20.0,20.0,14.58,1000.0,138749.0,4.0
10,20.0,4.0,17.0,14.0,6.0,5.0,11.0,15.39,550.0,138749.0,4.0
11,16.0,14.0,2.0,20.0,16.0,3.0,10.0,15.95,500.0,138749.0,4.0
12,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138749.0,4.0
13,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138749.0,4.0
14,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138749.0,4.0
15,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138749.0,4.0
16,20.0,20.0,9.0,20.0,16.0,20.0,1.0,20.37,50.0,138749.0,4.0
17,11.0,20.0,9.0,20.0,20.0,20.0,37.0,14.02,1850.0,138749.0,4.0
18,11.0,12.0,20.0,16.0,19.0,20.0,1.0,20.43,50.0,138749.0,4.0
19,11.0,12.0,20.0,16.0,19.0,15.0,9.0,16.23,450.0,138749.0,4.0
0,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138905.0,5.0
1,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138905.0,5.0
2,11.0,20.0,9.0,20.0,20.0,20.0,1.0,19.98,50.0,138905.0,5.0
3,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138905.0,5.0
4,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138905.0,5.0
5,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138905.0,5.0
6,3.0,10.0,17.0,14.0,6.0,20.0,20.0,14.58,1000.0,138905.0,5.0
7,20.0,4.0,17.0,14.0,6.0,5.0,11.0,15.39,550.0,138905.0,5.0
8,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138905.0,5.0
9,16.0,14.0,2.0,20.0,16.0,3.0,10.0,15.95,500.0,138905.0,5.0
10,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138905.0,5.0
11,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138905.0,5.0
12,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138905.0,5.0
13,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138905.0,5.0
14,11.0,5.0,13.0,2.0,3.0,18.0,13.0,15.37,650.0,138905.0,5.0
15,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138905.0,5.0
16,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138905.0,5.0
17,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138905.0,5.0
18,6.0,20.0,4.0,16.0,2.0,15.0,9.0,16.04,450.0,138905.0,5.0
19,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138905.0,5.0
0,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138976.5,6.0
1,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138976.5,6.0
2,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138976.5,6.0
3,11.0,12.0,20.0,16.0,19.0,7.0,37.0,13.94,1850.0,138976.5,6.0
4,11.0,20.0,9.0,20.0,20.0,20.0,1.0,19.98,50.0,138976.5,6.0
5,11.0,20.0,9.0,20.0,20.0,20.0,1.0,19.98,50.0,138976.5,6.0
6,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138976.5,6.0
7,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138976.5,6.0
8,5.0,8.0,13.0,13.0,20.0,20.0,22.0,14.32,1100.0,138976.5,6.0
9,3.0,10.0,17.0,14.0,6.0,20.0,20.0,14.58,1000.0,138976.5,6.0
10,3.0,10.0,17.0,14.0,6.0,20.0,20.0,14.58,1000.0,138976.5,6.0
11,20.0,4.0,17.0,14.0,6.0,5.0,11.0,15.39,550.0,138976.5,6.0
12,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138976.5,6.0
13,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138976.5,6.0
14,5.0,20.0,20.0,20.0,16.0,15.0,17.0,14.81,850.0,138976.5,6.0
15,20.0,4.0,17.0,14.0,6.0,3.0,10.0,15.75,500.0,138976.5,6.0
