idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,8,10,4,13,16,5,12,17.54,600.0,,0
1,7,1,9,9,7,6,40,15.71,2000.0,,0
2,10,1,10,19,10,17,25,16.11,1250.0,,0
3,14,14,20,10,14,15,21,16.54,1050.0,,0
4,9,17,18,16,11,5,26,15.88,1300.0,,0
5,14,19,11,18,7,11,13,17.52,650.0,,0
6,3,10,11,1,11,10,42,15.43,2100.0,,0
7,5,14,20,3,10,20,25,16.14,1250.0,,0
8,15,10,5,9,13,20,21,16.6,1050.0,,0
9,17,18,12,9,6,4,34,15.89,1700.0,,0
10,12,12,10,19,4,15,27,16.12,1350.0,,0
11,2,8,9,19,20,8,16,17.98,800.0,,0
12,14,7,4,2,2,2,22,17.25,1100.0,,0
13,3,1,13,18,10,2,29,16.51,1450.0,,0
14,11,19,1,12,2,15,22,259.54,1100.0,,0
15,3,14,7,15,9,6,46,25.61,2300.0,,0
16,10,12,3,20,11,13,65,94.29,3250.0,,0
17,11,6,10,15,1,2,46,143.39,2300.0,,0
18,8,6,8,16,9,3,71,248.26,3550.0,,0
19,8,10,9,2,3,2,60,1276.32,3000.0,,0
0,8.0,10.0,4.0,13.0,16.0,5.0,12.0,17.54,600.0,128365.5,1.0
1,7.0,1.0,9.0,9.0,7.0,6.0,40.0,15.71,2000.0,128365.5,1.0
2,10.0,1.0,10.0,19.0,10.0,17.0,25.0,16.11,1250.0,128365.5,1.0
3,9.0,17.0,18.0,16.0,11.0,5.0,26.0,15.88,1300.0,128365.5,1.0
4,14.0,19.0,11.0,18.0,7.0,11.0,13.0,17.52,650.0,128365.5,1.0
5,14.0,19.0,11.0,18.0,7.0,11.0,13.0,17.52,650.0,128365.5,1.0
6,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128365.5,1.0
7,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128365.5,1.0
8,8.0,1.0,20.0,19.0,20.0,17.0,4.0,21.62,200.0,128365.5,1.0
9,9.0,17.0,18.0,20.0,11.0,20.0,21.0,16.4,1050.0,128365.5,1.0
10,6.0,10.0,20.0,9.0,13.0,20.0,27.0,15.8,1350.0,128365.5,1.0
11,20.0,10.0,5.0,13.0,16.0,5.0,5.0,19.71,250.0,128365.5,1.0
12,20.0,20.0,9.0,19.0,20.0,8.0,16.0,16.45,800.0,128365.5,1.0
13,17.0,20.0,12.0,6.0,6.0,4.0,34.0,15.83,1700.0,128365.5,1.0
14,20.0,8.0,9.0,19.0,20.0,8.0,16.0,16.72,800.0,128365.5,1.0
15,5.0,14.0,20.0,3.0,10.0,20.0,25.0,16.14,1250.0,128365.5,1.0
16,14.0,14.0,20.0,10.0,14.0,15.0,21.0,16.54,1050.0,128365.5,1.0
17,14.0,19.0,11.0,20.0,20.0,20.0,30.0,16.1,1500.0,128365.5,1.0
18,14.0,14.0,20.0,10.0,14.0,15.0,21.0,16.54,1050.0,128365.5,1.0
19,12.0,12.0,10.0,19.0,4.0,15.0,27.0,16.12,1350.0,128365.5,1.0
0,8.0,10.0,4.0,13.0,16.0,5.0,12.0,17.54,600.0,128778.0,2.0
1,9.0,17.0,18.0,16.0,11.0,5.0,26.0,15.88,1300.0,128778.0,2.0
2,14.0,19.0,11.0,18.0,7.0,11.0,13.0,17.52,650.0,128778.0,2.0
3,14.0,19.0,11.0,18.0,7.0,11.0,13.0,17.52,650.0,128778.0,2.0
4,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128778.0,2.0
5,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128778.0,2.0
6,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128778.0,2.0
7,8.0,1.0,20.0,19.0,20.0,17.0,4.0,21.62,200.0,128778.0,2.0
8,8.0,1.0,20.0,19.0,20.0,17.0,4.0,21.62,200.0,128778.0,2.0
9,8.0,1.0,20.0,19.0,20.0,17.0,4.0,21.62,200.0,128778.0,2.0
10,6.0,10.0,20.0,9.0,13.0,20.0,27.0,15.8,1350.0,128778.0,2.0
11,6.0,10.0,20.0,9.0,13.0,20.0,27.0,15.8,1350.0,128778.0,2.0
12,20.0,20.0,9.0,19.0,20.0,8.0,16.0,16.45,800.0,128778.0,2.0
13,20.0,20.0,9.0,19.0,20.0,8.0,16.0,16.45,800.0,128778.0,2.0
14,10.0,1.0,10.0,20.0,10.0,20.0,21.0,16.05,1050.0,128778.0,2.0
15,20.0,1.0,20.0,1.0,11.0,10.0,5.0,19.16,250.0,128778.0,2.0
16,7.0,1.0,9.0,20.0,20.0,20.0,30.0,15.54,1500.0,128778.0,2.0
17,20.0,10.0,5.0,13.0,16.0,5.0,5.0,19.71,250.0,128778.0,2.0
18,7.0,1.0,9.0,9.0,7.0,6.0,40.0,15.71,2000.0,128778.0,2.0
19,20.0,8.0,9.0,19.0,20.0,8.0,16.0,16.72,800.0,128778.0,2.0
0,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128872.0,3.0
1,3.0,10.0,11.0,1.0,11.0,10.0,42.0,15.43,2100.0,128872.0,3.0
2,20.0,1.0,20.0,19.0,20.0,17.0,4.0,21.18,200.0,128872.0,3.0
3,20.0,1.0,20.0,1.0,11.0,10.0,5.0,19.16,250.0,128872.0,3.0
