0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
7,1,19,3,19,14,64,14.59,3200,15.75,426.16
7,1,11,3,20,9,38,14.69,1900,15.3,394.03
7,1,14,2,13,16,18,15.79,900,16.14,420.1
7,1,11,3,10,10,14,15.81,700,15.86,384.62
7,1,14,2,19,9,12,16.35,600,16.71,435.52
20,12,20,20,10,10,11,17.31,550,17.64,495.61
7,1,11,3,20,11,6,17.68,300,17.7,479.29
7,1,14,2,20,20,4,19.0,200,17.13,451.17
7,1,20,2,20,6,1,21.79,50,21.88,1081.96
