idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,13,17,12,18,15,17,35,16.19,1750.0,,0
1,17,6,18,6,8,8,4,19.74,200.0,,0
2,17,18,6,15,14,17,47,15.49,2350.0,,0
3,12,15,15,12,19,18,59,15.11,2950.0,,0
4,20,3,11,1,7,4,8,17.49,400.0,,0
5,5,9,8,7,2,14,5,20.07,250.0,,0
6,19,14,10,7,16,17,47,15.7,2350.0,,0
7,2,12,12,6,8,1,11,18.37,550.0,,0
8,6,11,6,5,17,17,47,15.79,2350.0,,0
9,2,3,3,12,6,10,33,27.33,1650.0,,0
10,20,7,20,2,19,6,56,15.97,2800.0,,0
11,2,1,12,15,11,13,55,17.06,2750.0,,0
12,4,3,1,2,1,12,33,10254.02,1650.0,,0
13,16,8,11,6,20,9,62,16.73,3100.0,,0
14,19,12,12,15,6,13,60,18.47,3000.0,,0
15,17,8,16,9,16,17,66,17.4,3300.0,,0
16,19,2,9,19,8,4,67,26.54,3350.0,,0
17,10,10,17,18,17,17,79,34.49,3950.0,,0
18,5,6,6,17,1,13,76,1930.75,3800.0,,0
19,2,8,5,2,1,12,79,550.28,3950.0,,0
0,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,129154.5,1.0
1,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,129154.5,1.0
2,20.0,3.0,11.0,1.0,7.0,4.0,8.0,17.49,400.0,129154.5,1.0
3,20.0,3.0,1.0,2.0,1.0,14.0,7.0,19.46,350.0,129154.5,1.0
4,20.0,12.0,17.0,6.0,8.0,1.0,44.0,15.49,2200.0,129154.5,1.0
5,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,129154.5,1.0
6,17.0,8.0,16.0,9.0,15.0,17.0,35.0,15.97,1750.0,129154.5,1.0
7,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,129154.5,1.0
8,19.0,14.0,13.0,7.0,16.0,16.0,47.0,15.41,2350.0,129154.5,1.0
9,5.0,9.0,8.0,7.0,2.0,14.0,5.0,20.07,250.0,129154.5,1.0
10,5.0,9.0,8.0,7.0,2.0,14.0,5.0,20.07,250.0,129154.5,1.0
11,20.0,6.0,18.0,20.0,8.0,8.0,4.0,20.54,200.0,129154.5,1.0
12,20.0,7.0,20.0,20.0,7.0,4.0,8.0,18.64,400.0,129154.5,1.0
13,12.0,15.0,15.0,20.0,19.0,4.0,10.0,17.7,500.0,129154.5,1.0
14,13.0,17.0,12.0,18.0,15.0,17.0,35.0,16.19,1750.0,129154.5,1.0
15,19.0,12.0,12.0,15.0,17.0,17.0,47.0,15.43,2350.0,129154.5,1.0
16,5.0,9.0,3.0,17.0,2.0,20.0,5.0,20.17,250.0,129154.5,1.0
17,2.0,12.0,12.0,6.0,8.0,1.0,11.0,18.37,550.0,129154.5,1.0
18,17.0,18.0,6.0,15.0,14.0,17.0,47.0,15.49,2350.0,129154.5,1.0
19,2.0,3.0,3.0,12.0,6.0,10.0,33.0,27.33,1650.0,129154.5,1.0
0,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,129732.0,2.0
1,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,129732.0,2.0
2,20.0,3.0,11.0,1.0,7.0,4.0,8.0,17.49,400.0,129732.0,2.0
3,20.0,12.0,17.0,6.0,8.0,1.0,44.0,15.49,2200.0,129732.0,2.0
4,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,129732.0,2.0
5,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,129732.0,2.0
6,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,129732.0,2.0
7,14.0,17.0,20.0,20.0,15.0,5.0,47.0,15.4,2350.0,129732.0,2.0
8,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,129732.0,2.0
9,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,129732.0,2.0
10,19.0,14.0,13.0,7.0,16.0,16.0,47.0,15.41,2350.0,129732.0,2.0
11,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,129732.0,2.0
12,12.0,15.0,15.0,20.0,19.0,4.0,10.0,17.7,500.0,129732.0,2.0
13,17.0,6.0,18.0,2.0,19.0,14.0,7.0,18.06,350.0,129732.0,2.0
14,5.0,3.0,20.0,11.0,7.0,4.0,8.0,17.88,400.0,129732.0,2.0
15,17.0,8.0,16.0,9.0,15.0,17.0,35.0,15.97,1750.0,129732.0,2.0
16,17.0,8.0,16.0,9.0,15.0,17.0,35.0,15.97,1750.0,129732.0,2.0
17,19.0,12.0,12.0,15.0,17.0,17.0,47.0,15.43,2350.0,129732.0,2.0
18,19.0,12.0,12.0,15.0,17.0,17.0,47.0,15.43,2350.0,129732.0,2.0
19,20.0,15.0,15.0,12.0,8.0,8.0,4.0,20.09,200.0,129732.0,2.0
0,20.0,3.0,11.0,1.0,7.0,4.0,8.0,17.49,400.0,129838.5,3.0
1,20.0,12.0,17.0,6.0,8.0,1.0,44.0,15.49,2200.0,129838.5,3.0
2,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,129838.5,3.0
3,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,129838.5,3.0
4,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,129838.5,3.0
5,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,129838.5,3.0
6,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,129838.5,3.0
7,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,129838.5,3.0
8,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,129838.5,3.0
9,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,129838.5,3.0
10,20.0,15.0,15.0,12.0,19.0,18.0,59.0,15.06,2950.0,129838.5,3.0
11,14.0,3.0,20.0,20.0,6.0,5.0,47.0,15.31,2350.0,129838.5,3.0
12,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,129838.5,3.0
13,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,129838.5,3.0
14,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,129838.5,3.0
15,19.0,12.0,5.0,20.0,12.0,13.0,30.0,16.32,1500.0,129838.5,3.0
16,20.0,15.0,20.0,12.0,8.0,17.0,13.0,17.33,650.0,129838.5,3.0
17,17.0,6.0,18.0,2.0,19.0,14.0,7.0,18.06,350.0,129838.5,3.0
18,14.0,17.0,20.0,20.0,15.0,5.0,47.0,15.4,2350.0,129838.5,3.0
19,20.0,15.0,17.0,12.0,19.0,18.0,44.0,15.66,2200.0,129838.5,3.0
0,20.0,3.0,11.0,1.0,7.0,4.0,8.0,17.49,400.0,130191.0,4.0
1,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130191.0,4.0
2,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130191.0,4.0
3,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130191.0,4.0
4,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130191.0,4.0
5,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,130191.0,4.0
6,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,130191.0,4.0
7,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,130191.0,4.0
8,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,130191.0,4.0
9,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130191.0,4.0
10,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130191.0,4.0
11,20.0,15.0,15.0,12.0,19.0,18.0,59.0,15.06,2950.0,130191.0,4.0
12,20.0,7.0,20.0,1.0,19.0,18.0,35.0,15.2,1750.0,130191.0,4.0
13,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,130191.0,4.0
14,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,130191.0,4.0
15,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,130191.0,4.0
16,12.0,15.0,15.0,12.0,19.0,18.0,59.0,15.11,2950.0,130191.0,4.0
17,20.0,15.0,15.0,12.0,20.0,18.0,17.0,16.69,850.0,130191.0,4.0
18,17.0,6.0,18.0,2.0,19.0,14.0,7.0,18.06,350.0,130191.0,4.0
19,19.0,12.0,5.0,20.0,12.0,13.0,30.0,16.32,1500.0,130191.0,4.0
0,20.0,3.0,11.0,1.0,7.0,4.0,8.0,17.49,400.0,130447.0,5.0
1,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,5.0
2,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,5.0
3,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,5.0
4,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,5.0
5,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,5.0
6,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,5.0
7,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,130447.0,5.0
8,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,130447.0,5.0
9,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,130447.0,5.0
10,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,130447.0,5.0
11,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130447.0,5.0
12,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130447.0,5.0
13,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130447.0,5.0
14,20.0,7.0,20.0,1.0,19.0,18.0,35.0,15.2,1750.0,130447.0,5.0
15,20.0,7.0,20.0,1.0,19.0,18.0,35.0,15.2,1750.0,130447.0,5.0
16,20.0,15.0,15.0,12.0,19.0,14.0,54.0,14.89,2700.0,130447.0,5.0
17,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,130447.0,5.0
18,17.0,6.0,18.0,6.0,8.0,8.0,4.0,19.74,200.0,130447.0,5.0
19,20.0,15.0,15.0,12.0,19.0,18.0,59.0,15.06,2950.0,130447.0,5.0
0,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,130447.0,6.0
1,2.0,3.0,3.0,12.0,8.0,8.0,4.0,17.5,200.0,130447.0,6.0
2,20.0,15.0,15.0,12.0,19.0,14.0,54.0,14.89,2700.0,130447.0,6.0
3,20.0,15.0,15.0,12.0,19.0,14.0,54.0,14.89,2700.0,130447.0,6.0
4,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,6.0
5,20.0,3.0,11.0,1.0,7.0,4.0,8.0,17.49,400.0,130447.0,6.0
6,20.0,7.0,20.0,1.0,19.0,18.0,35.0,15.2,1750.0,130447.0,6.0
7,20.0,3.0,5.0,20.0,12.0,13.0,30.0,16.08,1500.0,130447.0,6.0
8,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130447.0,6.0
9,2.0,3.0,20.0,12.0,6.0,17.0,13.0,16.35,650.0,130447.0,6.0
10,20.0,6.0,13.0,20.0,6.0,16.0,33.0,15.74,1650.0,130447.0,6.0
