idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen
0,14.0,7.0,13.0,7.0,1.0,11.82,1.0
1,15.0,3.0,5.0,2.0,2.0,11.59,1.0
2,5.0,9.0,5.0,2.0,9.0,11.7,1.0
3,5.0,3.0,4.0,3.0,10.0,12.29,1.0
4,13.0,5.0,15.0,9.0,10.0,11.89,1.0
5,15.0,3.0,5.0,2.0,2.0,11.59,1.0
6,8.0,6.0,10.0,4.0,9.0,11.89,1.0
7,13.0,5.0,15.0,9.0,10.0,11.89,1.0
8,15.0,6.0,15.0,8.0,2.0,11.66,1.0
9,6.0,9.0,8.0,9.0,2.0,12.25,1.0
10,12.0,7.0,12.0,1.0,10.0,11.38,1.0
11,8.0,6.0,4.0,6.0,2.0,11.93,1.0
12,3.0,8.0,8.0,9.0,10.0,11.4,1.0
13,13.0,9.0,8.0,2.0,2.0,12.09,1.0
14,13.0,2.0,8.0,2.0,10.0,11.54,1.0
15,5.0,9.0,5.0,2.0,9.0,11.7,1.0
16,6.0,9.0,4.0,10.0,9.0,12.78,1.0
17,10.0,5.0,8.0,2.0,10.0,12.09,1.0
18,13.0,7.0,6.0,10.0,4.0,11.94,1.0
19,5.0,3.0,4.0,3.0,1.0,11.77,1.0
