idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen
83,2.0,16.0,9.0,1.0,17.0,19.0,74.0,12.9,0.0
84,7.0,8.0,3.0,17.0,17.0,14.0,65.0,54.82,0.0
85,10.0,4.0,5.0,14.0,19.0,14.0,11.0,15.84,0.0
86,4.0,14.0,3.0,4.0,14.0,5.0,94.0,35.67,0.0
87,1.0,15.0,14.0,14.0,1.0,16.0,42.0,37.01,0.0
88,9.0,3.0,12.0,3.0,4.0,12.0,89.0,33.12,0.0
89,1.0,12.0,12.0,6.0,1.0,8.0,47.0,122.59,0.0
90,3.0,20.0,5.0,7.0,1.0,7.0,85.0,100.78,0.0
91,4.0,1.0,10.0,12.0,1.0,20.0,30.0,19.89,0.0
92,5.0,6.0,15.0,4.0,16.0,12.0,91.0,19.39,0.0
93,9.0,5.0,1.0,7.0,12.0,11.0,61.0,15.27,0.0
94,10.0,10.0,18.0,11.0,6.0,19.0,11.0,16.16,0.0
95,4.0,18.0,19.0,10.0,6.0,13.0,19.0,16.42,0.0
96,5.0,8.0,11.0,17.0,8.0,8.0,97.0,19.69,0.0
97,6.0,10.0,12.0,14.0,2.0,5.0,77.0,420.9,0.0
98,1.0,13.0,3.0,3.0,5.0,14.0,39.0,19.18,0.0
99,18.0,14.0,5.0,19.0,14.0,10.0,82.0,36.88,0.0
100,12.0,3.0,8.0,15.0,12.0,17.0,8.0,18.66,0.0
101,13.0,14.0,1.0,14.0,11.0,15.0,27.0,14.87,0.0
102,12.0,10.0,16.0,3.0,6.0,4.0,36.0,13.31,0.0
103,4.0,18.0,20.0,5.0,15.0,13.0,24.0,14.51,0.0
104,14.0,14.0,6.0,8.0,15.0,11.0,67.0,14.07,0.0
105,5.0,12.0,15.0,3.0,16.0,7.0,38.0,13.64,0.0
106,1.0,15.0,20.0,15.0,1.0,7.0,39.0,18.88,0.0
107,4.0,10.0,18.0,20.0,5.0,14.0,91.0,26.62,0.0
108,16.0,3.0,16.0,8.0,18.0,13.0,36.0,12.33,0.0
109,1.0,4.0,9.0,2.0,1.0,9.0,51.0,703.13,0.0
110,17.0,19.0,13.0,15.0,4.0,9.0,46.0,13.71,0.0
111,10.0,7.0,20.0,3.0,2.0,3.0,34.0,16.05,0.0
112,10.0,18.0,11.0,4.0,17.0,8.0,98.0,13.02,0.0
113,6.0,3.0,14.0,10.0,10.0,17.0,18.0,13.57,0.0
114,19.0,17.0,7.0,18.0,4.0,14.0,82.0,13.09,0.0
115,18.0,13.0,9.0,10.0,15.0,12.0,73.0,14.08,0.0
116,5.0,6.0,4.0,4.0,13.0,13.0,76.0,23.47,0.0
117,15.0,5.0,18.0,10.0,12.0,16.0,96.0,14.12,0.0
118,14.0,7.0,16.0,16.0,17.0,11.0,64.0,13.28,0.0
119,2.0,15.0,10.0,5.0,16.0,2.0,80.0,17.53,0.0
120,7.0,1.0,12.0,16.0,13.0,1.0,68.0,13.64,0.0
121,3.0,3.0,13.0,1.0,12.0,2.0,15.0,15.91,0.0
122,20.0,1.0,9.0,10.0,8.0,5.0,97.0,22.47,0.0
123,19.0,10.0,7.0,4.0,14.0,15.0,92.0,16.38,0.0
124,11.0,13.0,6.0,11.0,14.0,14.0,19.0,13.91,0.0
125,15.0,5.0,17.0,11.0,5.0,7.0,24.0,14.2,0.0
126,15.0,12.0,13.0,14.0,16.0,13.0,94.0,22.26,0.0
127,8.0,7.0,15.0,7.0,19.0,2.0,50.0,13.34,0.0
128,2.0,8.0,3.0,6.0,12.0,2.0,96.0,44.54,0.0
129,6.0,8.0,20.0,10.0,20.0,3.0,91.0,24.48,0.0
130,17.0,10.0,12.0,14.0,15.0,2.0,81.0,535.46,0.0
131,17.0,18.0,14.0,19.0,15.0,16.0,33.0,14.52,0.0
132,16.0,7.0,11.0,9.0,2.0,2.0,7.0,18.36,0.0
133,6.0,12.0,1.0,10.0,1.0,5.0,9.0,19.68,0.0
134,14.0,8.0,20.0,13.0,18.0,8.0,59.0,14.82,0.0
135,7.0,11.0,20.0,4.0,20.0,3.0,41.0,12.88,0.0
136,11.0,18.0,15.0,11.0,9.0,1.0,67.0,15.44,0.0
137,2.0,7.0,12.0,3.0,7.0,17.0,45.0,13.13,0.0
138,7.0,7.0,9.0,10.0,10.0,17.0,50.0,13.42,0.0
139,9.0,16.0,12.0,8.0,2.0,10.0,71.0,16.8,0.0
140,3.0,1.0,15.0,16.0,15.0,2.0,53.0,13.93,0.0
141,16.0,15.0,15.0,4.0,3.0,3.0,31.0,15.07,0.0
142,4.0,5.0,14.0,7.0,15.0,20.0,10.0,16.5,0.0
143,14.0,18.0,13.0,2.0,6.0,8.0,63.0,15.11,0.0
144,8.0,5.0,9.0,12.0,11.0,14.0,14.0,17.02,0.0
145,18.0,10.0,20.0,18.0,7.0,10.0,100.0,31.28,0.0
146,15.0,17.0,20.0,15.0,18.0,9.0,35.0,13.02,0.0
147,8.0,1.0,4.0,20.0,4.0,6.0,94.0,86.27,0.0
148,14.0,8.0,7.0,10.0,1.0,18.0,66.0,16.12,0.0
149,14.0,2.0,4.0,13.0,9.0,4.0,95.0,31.69,0.0
150,19.0,12.0,8.0,18.0,10.0,8.0,95.0,22.48,0.0
151,8.0,3.0,17.0,10.0,11.0,8.0,48.0,13.74,0.0
152,16.0,10.0,19.0,6.0,5.0,1.0,71.0,23.66,0.0
153,17.0,11.0,12.0,19.0,1.0,5.0,51.0,13.87,0.0
154,5.0,6.0,17.0,3.0,5.0,7.0,100.0,31.63,0.0
155,16.0,19.0,7.0,8.0,5.0,8.0,98.0,24.75,0.0
156,13.0,12.0,20.0,19.0,5.0,16.0,14.0,15.53,0.0
157,20.0,1.0,17.0,20.0,12.0,16.0,59.0,15.13,0.0
158,10.0,1.0,8.0,18.0,6.0,16.0,95.0,18.94,0.0
159,16.0,18.0,11.0,3.0,9.0,5.0,78.0,14.93,0.0
160,13.0,7.0,11.0,10.0,13.0,2.0,27.0,13.24,0.0
161,2.0,11.0,8.0,11.0,15.0,8.0,34.0,12.21,0.0
162,12.0,6.0,10.0,1.0,12.0,19.0,70.0,14.14,0.0
163,2.0,5.0,12.0,1.0,16.0,2.0,4.0,20.31,0.0
164,8.0,2.0,1.0,8.0,11.0,3.0,8.0,19.58,0.0
165,12.0,14.0,5.0,7.0,15.0,14.0,19.0,13.99,0.0
166,12.0,10.0,6.0,11.0,14.0,13.0,2.0,21.6,0.0
167,14.0,9.0,18.0,18.0,15.0,2.0,73.0,13.81,0.0
168,4.0,14.0,13.0,6.0,1.0,17.0,18.0,19.49,0.0
169,20.0,17.0,5.0,3.0,11.0,8.0,23.0,12.7,0.0
170,8.0,1.0,6.0,18.0,6.0,3.0,55.0,13.82,0.0
171,20.0,4.0,20.0,15.0,5.0,20.0,78.0,25.45,0.0
172,2.0,9.0,11.0,13.0,1.0,2.0,64.0,44.68,0.0
173,3.0,12.0,10.0,5.0,15.0,8.0,65.0,16.37,0.0
174,12.0,6.0,13.0,11.0,9.0,16.0,51.0,13.19,0.0
175,1.0,10.0,17.0,10.0,18.0,16.0,5.0,20.63,0.0
176,18.0,19.0,18.0,9.0,2.0,15.0,51.0,15.07,0.0
177,4.0,13.0,12.0,16.0,2.0,1.0,35.0,16.34,0.0
178,2.0,9.0,19.0,10.0,7.0,17.0,67.0,13.96,0.0
179,11.0,13.0,9.0,7.0,4.0,19.0,43.0,14.36,0.0
180,8.0,19.0,18.0,12.0,6.0,5.0,43.0,12.95,0.0
181,1.0,19.0,2.0,19.0,5.0,12.0,47.0,14.45,0.0
182,10.0,10.0,11.0,16.0,13.0,20.0,56.0,13.12,0.0
183,6.0,1.0,5.0,19.0,2.0,15.0,17.0,14.27,0.0
184,11.0,1.0,16.0,9.0,20.0,7.0,9.0,14.38,0.0
185,18.0,14.0,9.0,6.0,17.0,6.0,9.0,17.65,0.0
186,6.0,19.0,4.0,17.0,18.0,20.0,50.0,13.76,0.0
187,14.0,9.0,10.0,10.0,1.0,14.0,100.0,481.33,0.0
188,9.0,9.0,18.0,17.0,18.0,11.0,44.0,13.19,0.0
189,7.0,14.0,5.0,1.0,17.0,5.0,85.0,23.22,0.0
190,19.0,13.0,12.0,15.0,2.0,18.0,53.0,15.6,0.0
191,20.0,8.0,1.0,12.0,17.0,6.0,88.0,203.99,0.0
192,7.0,12.0,16.0,1.0,8.0,19.0,31.0,13.82,0.0
193,9.0,6.0,14.0,3.0,19.0,15.0,31.0,13.93,0.0
194,15.0,17.0,4.0,7.0,6.0,15.0,9.0,19.05,0.0
195,14.0,13.0,9.0,9.0,14.0,12.0,79.0,13.78,0.0
196,11.0,3.0,10.0,1.0,16.0,1.0,98.0,36.36,0.0
197,9.0,7.0,13.0,13.0,14.0,13.0,90.0,20.63,0.0
198,2.0,19.0,15.0,12.0,19.0,5.0,73.0,30.03,0.0
199,9.0,11.0,1.0,13.0,16.0,17.0,18.0,16.96,0.0
