idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,10,16,12,19,7,17,18,14.88,900.0,,0
1,16,15,17,9,2,18,2,19.47,100.0,,0
2,14,19,9,15,16,12,11,15.9,550.0,,0
3,11,20,4,16,19,11,25,14.1,1250.0,,0
4,8,1,9,4,8,12,22,14.59,1100.0,,0
5,11,14,2,4,5,8,6,18.95,300.0,,0
6,11,3,7,19,8,8,19,15.05,950.0,,0
7,13,14,2,9,17,16,52,14.51,2600.0,,0
8,3,20,13,11,19,8,38,14.55,1900.0,,0
9,3,13,1,20,16,11,32,98.1,1600.0,,0
10,19,18,20,3,1,4,25,437.48,1250.0,,0
11,4,10,18,10,4,18,43,18.32,2150.0,,0
12,18,7,20,18,19,10,57,15.71,2850.0,,0
13,6,7,6,2,20,9,61,14.85,3050.0,,0
14,4,12,14,11,20,7,71,21.3,3550.0,,0
15,18,15,3,3,11,17,63,107.72,3150.0,,0
16,5,10,4,3,11,16,72,81.43,3600.0,,0
17,13,17,9,17,8,7,76,36.91,3800.0,,0
18,3,3,5,5,2,3,70,3127.32,3500.0,,0
19,10,5,4,20,9,18,78,407.7,3900.0,,0
0,10.0,16.0,12.0,19.0,7.0,17.0,18.0,14.88,900.0,137050.5,1.0
1,16.0,15.0,17.0,9.0,2.0,18.0,2.0,19.47,100.0,137050.5,1.0
2,16.0,15.0,17.0,9.0,2.0,18.0,2.0,19.47,100.0,137050.5,1.0
3,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,137050.5,1.0
4,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,137050.5,1.0
5,11.0,14.0,2.0,4.0,5.0,8.0,6.0,18.95,300.0,137050.5,1.0
6,11.0,14.0,2.0,4.0,5.0,8.0,6.0,18.95,300.0,137050.5,1.0
7,11.0,3.0,7.0,19.0,8.0,12.0,22.0,14.46,1100.0,137050.5,1.0
8,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,137050.5,1.0
9,10.0,16.0,12.0,19.0,20.0,20.0,11.0,15.52,550.0,137050.5,1.0
10,8.0,20.0,20.0,8.0,19.0,16.0,74.0,14.08,3700.0,137050.5,1.0
11,11.0,20.0,4.0,16.0,19.0,11.0,52.0,14.23,2600.0,137050.5,1.0
12,8.0,1.0,9.0,4.0,8.0,12.0,22.0,14.59,1100.0,137050.5,1.0
13,13.0,20.0,13.0,11.0,19.0,8.0,38.0,14.52,1900.0,137050.5,1.0
14,20.0,16.0,12.0,20.0,7.0,20.0,24.0,14.57,1200.0,137050.5,1.0
15,14.0,20.0,9.0,15.0,16.0,17.0,18.0,14.97,900.0,137050.5,1.0
16,14.0,19.0,9.0,15.0,16.0,12.0,11.0,15.9,550.0,137050.5,1.0
17,13.0,14.0,2.0,9.0,17.0,16.0,52.0,14.51,2600.0,137050.5,1.0
18,11.0,3.0,7.0,19.0,8.0,8.0,19.0,15.05,950.0,137050.5,1.0
19,11.0,3.0,7.0,19.0,8.0,8.0,19.0,15.05,950.0,137050.5,1.0
0,10.0,16.0,12.0,19.0,7.0,17.0,18.0,14.88,900.0,137913.5,2.0
1,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,137913.5,2.0
2,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,137913.5,2.0
3,11.0,3.0,7.0,19.0,8.0,12.0,22.0,14.46,1100.0,137913.5,2.0
4,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,137913.5,2.0
5,10.0,16.0,12.0,19.0,20.0,20.0,11.0,15.52,550.0,137913.5,2.0
6,10.0,16.0,12.0,19.0,20.0,20.0,6.0,16.53,300.0,137913.5,2.0
7,11.0,20.0,4.0,16.0,19.0,16.0,52.0,13.95,2600.0,137913.5,2.0
8,8.0,15.0,17.0,9.0,2.0,18.0,2.0,19.2,100.0,137913.5,2.0
9,8.0,20.0,20.0,8.0,19.0,16.0,74.0,14.08,3700.0,137913.5,2.0
10,16.0,15.0,17.0,9.0,2.0,18.0,2.0,19.47,100.0,137913.5,2.0
11,16.0,15.0,17.0,9.0,2.0,18.0,2.0,19.47,100.0,137913.5,2.0
12,11.0,20.0,4.0,16.0,19.0,11.0,52.0,14.23,2600.0,137913.5,2.0
13,14.0,19.0,9.0,15.0,16.0,12.0,11.0,15.9,550.0,137913.5,2.0
14,11.0,14.0,2.0,4.0,5.0,8.0,6.0,18.95,300.0,137913.5,2.0
15,20.0,1.0,9.0,20.0,8.0,20.0,24.0,14.52,1200.0,137913.5,2.0
16,11.0,20.0,20.0,20.0,20.0,17.0,17.0,15.33,850.0,137913.5,2.0
17,14.0,19.0,9.0,15.0,16.0,12.0,11.0,15.9,550.0,137913.5,2.0
18,11.0,14.0,2.0,4.0,5.0,8.0,6.0,18.95,300.0,137913.5,2.0
19,8.0,1.0,9.0,4.0,8.0,12.0,22.0,14.59,1100.0,137913.5,2.0
0,10.0,16.0,12.0,19.0,7.0,17.0,18.0,14.88,900.0,138353.5,3.0
1,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138353.5,3.0
2,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138353.5,3.0
3,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138353.5,3.0
4,11.0,3.0,7.0,19.0,8.0,12.0,22.0,14.46,1100.0,138353.5,3.0
5,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,138353.5,3.0
6,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,138353.5,3.0
7,10.0,16.0,12.0,19.0,20.0,20.0,11.0,15.52,550.0,138353.5,3.0
8,10.0,16.0,12.0,19.0,20.0,20.0,11.0,15.52,550.0,138353.5,3.0
9,10.0,16.0,12.0,19.0,20.0,20.0,6.0,16.53,300.0,138353.5,3.0
10,10.0,16.0,12.0,19.0,20.0,20.0,6.0,16.53,300.0,138353.5,3.0
11,10.0,16.0,12.0,19.0,20.0,20.0,6.0,16.53,300.0,138353.5,3.0
12,11.0,20.0,4.0,16.0,19.0,11.0,2.0,18.96,100.0,138353.5,3.0
13,8.0,20.0,20.0,8.0,19.0,16.0,52.0,13.67,2600.0,138353.5,3.0
14,10.0,16.0,12.0,19.0,20.0,20.0,2.0,19.13,100.0,138353.5,3.0
15,11.0,20.0,4.0,16.0,19.0,16.0,52.0,13.95,2600.0,138353.5,3.0
16,11.0,19.0,9.0,15.0,16.0,12.0,11.0,15.67,550.0,138353.5,3.0
17,20.0,1.0,9.0,20.0,8.0,20.0,24.0,14.52,1200.0,138353.5,3.0
18,11.0,14.0,2.0,4.0,5.0,8.0,6.0,18.95,300.0,138353.5,3.0
19,11.0,20.0,20.0,20.0,20.0,17.0,17.0,15.33,850.0,138353.5,3.0
0,10.0,16.0,12.0,19.0,7.0,17.0,18.0,14.88,900.0,138586.0,4.0
1,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138586.0,4.0
2,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138586.0,4.0
3,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138586.0,4.0
4,11.0,20.0,4.0,16.0,19.0,11.0,25.0,14.1,1250.0,138586.0,4.0
5,11.0,3.0,7.0,19.0,8.0,12.0,22.0,14.46,1100.0,138586.0,4.0
6,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,138586.0,4.0
7,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,138586.0,4.0
8,8.0,20.0,20.0,20.0,20.0,8.0,17.0,14.96,850.0,138586.0,4.0
9,11.0,20.0,4.0,16.0,19.0,11.0,2.0,18.96,100.0,138586.0,4.0
10,8.0,20.0,20.0,8.0,19.0,16.0,52.0,13.67,2600.0,138586.0,4.0
11,8.0,20.0,20.0,8.0,19.0,16.0,11.0,15.17,550.0,138586.0,4.0
12,10.0,16.0,2.0,4.0,5.0,8.0,6.0,16.02,300.0,138586.0,4.0
13,10.0,16.0,12.0,19.0,20.0,20.0,2.0,19.13,100.0,138586.0,4.0
14,10.0,16.0,12.0,19.0,20.0,20.0,2.0,19.13,100.0,138586.0,4.0
15,11.0,20.0,4.0,16.0,19.0,16.0,52.0,13.95,2600.0,138586.0,4.0
16,11.0,20.0,4.0,16.0,19.0,16.0,52.0,13.95,2600.0,138586.0,4.0
17,10.0,16.0,12.0,19.0,20.0,20.0,25.0,14.32,1250.0,138586.0,4.0
18,10.0,16.0,12.0,19.0,20.0,20.0,6.0,16.53,300.0,138586.0,4.0
19,11.0,20.0,4.0,16.0,19.0,11.0,11.0,15.43,550.0,138586.0,4.0
