0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
18,19,20,20,11,12,60,14.92,3000,15.77,438.39
20,19,20,20,20,12,46,14.96,2300,16.25,432.9
6,2,20,1,12,20,33,15.2,1650,16.97,538.21
12,12,10,2,14,3,27,15.34,1350,16.4,453.53
12,20,12,17,9,15,14,16.69,700,17.45,540.19
12,12,10,2,14,6,11,16.82,550,16.05,384.1
20,20,20,20,11,12,3,20.08,150,20.63,782.95
