0,1,2,3,4,5,6,val_rmse,num_neuron,test_rmse,test_score
3,4,20,20,20,20,54,29.26,2700,40.83,41747.48
3,4,20,6,20,11,34,29.4,1700,40.86,35049.19
3,4,19,9,20,20,24,30.16,1200,42.82,47712.76
3,4,20,20,20,20,17,32.15,850,45.33,113129.54
4,4,19,9,20,1,9,33.34,450,44.9,54908.42
3,4,20,20,20,20,4,37.67,200,50.17,142038.12
3,4,20,20,18,11,2,39.97,100,52.16,120189.6
