idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,2,3,3,12,6,10,33,31.9,1650.0,,0
1,2,1,12,15,11,13,55,27.98,2750.0,,0
2,17,6,18,6,8,8,4,39.99,200.0,,0
3,19,14,10,7,16,17,47,30.69,2350.0,,0
4,20,3,11,1,7,4,8,37.74,400.0,,0
5,13,17,12,18,15,17,35,33.84,1750.0,,0
6,20,7,20,2,19,6,56,29.49,2800.0,,0
7,16,8,11,6,20,9,62,29.29,3100.0,,0
8,5,9,8,7,2,14,5,40.92,250.0,,0
9,6,11,6,5,17,17,47,31.39,2350.0,,0
10,2,12,12,6,8,1,11,39.8,550.0,,0
11,12,15,15,12,19,18,59,30.33,2950.0,,0
12,17,18,6,15,14,17,47,33.59,2350.0,,0
13,4,3,1,2,1,12,33,1294.38,1650.0,,0
14,17,8,16,9,16,17,66,30.58,3300.0,,0
15,19,12,12,15,6,13,60,67.47,3000.0,,0
16,10,10,17,18,17,17,79,31.28,3950.0,,0
17,19,2,9,19,8,4,67,44.49,3350.0,,0
18,5,6,6,17,1,13,76,18692.33,3800.0,,0
19,2,8,5,2,1,12,79,9249.25,3950.0,,0
0,2.0,3.0,3.0,12.0,6.0,10.0,33.0,31.9,1650.0,71116.0,1.0
1,2.0,1.0,12.0,15.0,11.0,13.0,55.0,27.98,2750.0,71116.0,1.0
2,17.0,6.0,18.0,6.0,8.0,8.0,4.0,39.99,200.0,71116.0,1.0
3,19.0,14.0,10.0,7.0,16.0,17.0,47.0,30.69,2350.0,71116.0,1.0
4,2.0,1.0,12.0,2.0,11.0,14.0,7.0,33.43,350.0,71116.0,1.0
5,20.0,11.0,17.0,5.0,17.0,17.0,44.0,30.87,2200.0,71116.0,1.0
6,20.0,7.0,20.0,2.0,19.0,6.0,56.0,29.49,2800.0,71116.0,1.0
7,20.0,9.0,8.0,20.0,20.0,9.0,62.0,28.71,3100.0,71116.0,1.0
8,16.0,8.0,11.0,6.0,2.0,14.0,5.0,40.32,250.0,71116.0,1.0
9,20.0,3.0,11.0,1.0,7.0,4.0,8.0,37.74,400.0,71116.0,1.0
10,13.0,17.0,12.0,18.0,15.0,17.0,35.0,33.84,1750.0,71116.0,1.0
11,17.0,6.0,18.0,6.0,8.0,1.0,11.0,36.16,550.0,71116.0,1.0
12,6.0,11.0,6.0,5.0,17.0,17.0,47.0,31.39,2350.0,71116.0,1.0
13,16.0,8.0,11.0,6.0,20.0,9.0,62.0,29.29,3100.0,71116.0,1.0
14,16.0,8.0,11.0,6.0,20.0,9.0,62.0,29.29,3100.0,71116.0,1.0
15,5.0,9.0,8.0,7.0,2.0,14.0,5.0,40.92,250.0,71116.0,1.0
16,5.0,9.0,8.0,7.0,2.0,14.0,5.0,40.92,250.0,71116.0,1.0
17,10.0,10.0,17.0,18.0,14.0,17.0,47.0,32.25,2350.0,71116.0,1.0
18,2.0,3.0,20.0,12.0,6.0,17.0,13.0,36.78,650.0,71116.0,1.0
