idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,6,2,9,1,12,13,3,21.06,150.0,,0
1,12,17,12,17,9,15,14,16.97,700.0,,0
2,19,12,10,2,14,3,27,15.57,1350.0,,0
3,11,17,20,12,5,11,36,15.4,1800.0,,0
4,18,3,10,11,10,6,11,17.45,550.0,,0
5,18,13,2,8,20,12,33,16.4,1650.0,,0
6,18,14,12,13,19,1,58,15.46,2900.0,,0
7,20,15,5,5,1,1,27,91.62,1350.0,,0
8,2,6,4,12,16,8,49,18.69,2450.0,,0
9,14,6,5,9,3,11,39,44.57,1950.0,,0
10,12,10,16,11,6,16,61,16.33,3050.0,,0
11,20,9,12,17,1,15,32,155.57,1600.0,,0
12,2,6,20,7,4,8,60,23.82,3000.0,,0
13,15,14,5,2,2,16,43,132.02,2150.0,,0
14,7,6,6,10,11,7,70,19.96,3500.0,,0
15,20,19,1,20,11,3,40,708.35,2000.0,,0
16,7,6,7,13,10,1,47,285.87,2350.0,,0
17,9,6,13,6,3,5,80,141.16,4000.0,,0
18,18,4,19,8,1,7,53,288.74,2650.0,,0
19,5,10,16,6,2,3,77,1296.74,3850.0,,0
0,12.0,17.0,12.0,17.0,9.0,15.0,14.0,16.97,700.0,130287.5,1.0
1,19.0,12.0,10.0,2.0,14.0,3.0,27.0,15.57,1350.0,130287.5,1.0
2,11.0,17.0,20.0,12.0,5.0,11.0,36.0,15.4,1800.0,130287.5,1.0
3,11.0,17.0,20.0,12.0,5.0,11.0,36.0,15.4,1800.0,130287.5,1.0
4,18.0,3.0,10.0,11.0,10.0,6.0,11.0,17.45,550.0,130287.5,1.0
5,6.0,20.0,9.0,1.0,12.0,13.0,3.0,20.4,150.0,130287.5,1.0
6,18.0,19.0,20.0,20.0,11.0,12.0,60.0,14.92,3000.0,130287.5,1.0
7,20.0,3.0,10.0,11.0,20.0,1.0,58.0,15.38,2900.0,130287.5,1.0
8,12.0,10.0,20.0,2.0,20.0,3.0,27.0,15.8,1350.0,130287.5,1.0
9,20.0,14.0,20.0,13.0,20.0,1.0,46.0,15.77,2300.0,130287.5,1.0
10,20.0,20.0,5.0,20.0,20.0,1.0,12.0,17.62,600.0,130287.5,1.0
11,18.0,14.0,12.0,13.0,19.0,6.0,11.0,17.93,550.0,130287.5,1.0
12,6.0,2.0,9.0,1.0,12.0,13.0,3.0,21.06,150.0,130287.5,1.0
13,20.0,20.0,20.0,5.0,20.0,1.0,71.0,15.37,3550.0,130287.5,1.0
14,18.0,14.0,12.0,13.0,19.0,1.0,58.0,15.46,2900.0,130287.5,1.0
15,7.0,6.0,12.0,17.0,9.0,15.0,14.0,17.68,700.0,130287.5,1.0
16,19.0,20.0,20.0,11.0,6.0,20.0,61.0,15.58,3050.0,130287.5,1.0
17,11.0,5.0,20.0,20.0,20.0,3.0,27.0,16.54,1350.0,130287.5,1.0
18,19.0,12.0,10.0,2.0,5.0,11.0,36.0,16.04,1800.0,130287.5,1.0
