,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,fitness_cnn,rank_celm,rank_cnn
0,0,17.0,18.0,6.0,13.0,20.0,17.0,24.0,14.27,0.0,6.34,41,68
1,1,20.0,16.0,11.0,9.0,14.0,9.0,11.0,12.9,0.0,6.27,2,61
2,2,13.0,9.0,14.0,8.0,7.0,15.0,35.0,14.55,0.0,5.79,58,11
3,3,8.0,16.0,18.0,15.0,11.0,20.0,33.0,14.16,0.0,6.28,35,63
4,4,13.0,6.0,5.0,7.0,17.0,5.0,44.0,14.73,0.0,7.01,65,91
5,5,20.0,15.0,12.0,15.0,7.0,11.0,41.0,15.28,0.0,6.17,79,44
6,6,12.0,12.0,9.0,19.0,7.0,7.0,25.0,14.14,0.0,6.24,34,58
7,7,20.0,8.0,14.0,14.0,8.0,15.0,39.0,14.72,0.0,6.02,64,25
8,8,11.0,14.0,19.0,7.0,17.0,15.0,41.0,14.36,0.0,6.29,44,64
9,9,12.0,14.0,10.0,11.0,10.0,6.0,44.0,13.56,0.0,6.99,13,90
10,10,13.0,20.0,7.0,7.0,9.0,9.0,7.0,13.45,0.0,6.78,12,89
11,11,7.0,17.0,13.0,12.0,11.0,18.0,42.0,13.86,0.0,6.23,26,56
12,12,13.0,19.0,20.0,16.0,7.0,15.0,44.0,14.24,0.0,6.1,39,36
13,13,8.0,20.0,15.0,11.0,12.0,5.0,22.0,14.4,0.0,6.08,47,33
14,14,8.0,12.0,16.0,10.0,15.0,18.0,8.0,15.68,0.0,6.17,87,45
15,15,8.0,9.0,12.0,6.0,7.0,5.0,12.0,14.79,0.0,8.2,67,96
16,16,11.0,8.0,17.0,7.0,16.0,8.0,7.0,14.37,0.0,5.69,45,5
17,17,5.0,11.0,10.0,8.0,20.0,11.0,8.0,15.15,0.0,7.12,75,93
18,18,5.0,18.0,8.0,13.0,7.0,12.0,9.0,16.77,0.0,7.07,100,92
19,19,14.0,16.0,18.0,10.0,6.0,19.0,7.0,15.77,0.0,6.4,89,77
20,20,8.0,17.0,11.0,13.0,16.0,20.0,41.0,13.8,0.0,6.29,21,65
21,21,10.0,11.0,6.0,10.0,10.0,15.0,38.0,13.61,0.0,6.01,15,24
22,22,13.0,8.0,19.0,10.0,5.0,20.0,48.0,14.35,0.0,5.71,43,7
23,23,18.0,14.0,16.0,17.0,13.0,9.0,40.0,12.93,0.0,6.39,3,75
24,24,5.0,19.0,7.0,15.0,6.0,13.0,13.0,14.41,0.0,6.24,49,57
25,25,12.0,20.0,16.0,14.0,16.0,9.0,50.0,14.28,0.0,6.38,42,72
26,26,14.0,17.0,18.0,7.0,5.0,11.0,49.0,14.5,0.0,6.09,53,35
27,27,15.0,10.0,12.0,12.0,19.0,17.0,50.0,14.13,0.0,6.06,33,31
28,28,18.0,6.0,17.0,18.0,6.0,10.0,33.0,14.45,0.0,5.68,51,4
29,29,7.0,13.0,10.0,19.0,20.0,5.0,7.0,13.8,0.0,6.21,22,52
30,30,20.0,15.0,14.0,19.0,6.0,18.0,17.0,16.21,0.0,6.44,98,80
31,31,7.0,9.0,5.0,17.0,18.0,15.0,5.0,13.57,0.0,5.83,14,12
32,32,11.0,5.0,5.0,8.0,11.0,8.0,43.0,14.97,0.0,9.76,73,100
33,33,11.0,14.0,13.0,10.0,8.0,20.0,30.0,15.25,0.0,6.27,78,62
34,34,7.0,5.0,13.0,19.0,8.0,13.0,13.0,15.91,0.0,5.78,92,9
35,35,16.0,8.0,9.0,13.0,5.0,6.0,7.0,16.02,0.0,6.18,96,47
36,36,11.0,13.0,15.0,16.0,6.0,20.0,50.0,14.55,0.0,5.98,57,18
37,37,19.0,18.0,16.0,10.0,11.0,17.0,42.0,14.23,0.0,6.37,38,71
38,38,14.0,5.0,9.0,9.0,13.0,15.0,26.0,14.78,0.0,7.45,66,94
39,39,16.0,7.0,15.0,6.0,6.0,13.0,15.0,14.53,0.0,5.67,55,3
40,40,9.0,14.0,16.0,17.0,9.0,14.0,12.0,14.0,0.0,6.22,30,55
41,41,20.0,12.0,6.0,14.0,10.0,7.0,24.0,14.9,0.0,6.05,70,29
42,42,17.0,15.0,14.0,18.0,8.0,8.0,40.0,13.35,0.0,6.01,10,22
43,43,20.0,20.0,15.0,15.0,8.0,20.0,12.0,15.96,0.0,6.52,95,88
44,44,20.0,18.0,6.0,14.0,15.0,9.0,15.0,15.21,0.0,6.49,76,87
45,45,17.0,7.0,7.0,7.0,11.0,12.0,8.0,14.38,0.0,6.41,46,78
46,46,17.0,5.0,8.0,17.0,14.0,19.0,36.0,14.86,0.0,5.54,69,2
47,47,11.0,18.0,7.0,16.0,12.0,13.0,42.0,15.32,0.0,6.18,80,48
48,48,10.0,18.0,11.0,16.0,8.0,7.0,49.0,14.01,0.0,6.38,31,73
49,49,5.0,19.0,11.0,8.0,20.0,17.0,21.0,13.64,0.0,6.01,16,23
50,50,11.0,6.0,11.0,9.0,8.0,11.0,34.0,15.41,0.0,9.63,82,99
51,51,17.0,16.0,9.0,8.0,20.0,9.0,41.0,14.52,0.0,6.12,54,38
52,52,17.0,18.0,20.0,15.0,20.0,20.0,45.0,15.35,0.0,6.21,81,53
53,53,11.0,12.0,5.0,15.0,15.0,15.0,7.0,15.47,0.0,6.13,84,41
54,54,9.0,13.0,9.0,17.0,14.0,20.0,9.0,14.46,0.0,6.21,52,54
55,55,7.0,6.0,7.0,12.0,9.0,6.0,24.0,13.13,0.0,8.63,6,97
56,56,5.0,19.0,15.0,10.0,9.0,19.0,28.0,13.78,0.0,5.98,19,17
57,57,17.0,6.0,7.0,7.0,18.0,11.0,23.0,14.05,0.0,6.42,32,79
58,58,18.0,20.0,17.0,12.0,5.0,5.0,16.0,15.68,0.0,6.2,86,50
59,59,14.0,13.0,15.0,7.0,20.0,13.0,24.0,14.62,0.0,6.16,60,43
60,60,18.0,17.0,17.0,6.0,10.0,9.0,20.0,14.56,0.0,6.2,59,49
61,61,14.0,15.0,6.0,6.0,20.0,18.0,14.0,14.99,0.0,6.09,74,34
62,62,20.0,7.0,9.0,16.0,18.0,6.0,44.0,13.8,0.0,5.69,20,6
63,63,19.0,17.0,19.0,6.0,8.0,20.0,14.0,13.84,0.0,6.33,25,67
64,64,5.0,6.0,9.0,15.0,8.0,16.0,17.0,14.83,0.0,9.1,68,98
65,65,17.0,20.0,8.0,6.0,19.0,15.0,46.0,14.53,0.0,6.44,56,81
66,66,8.0,14.0,9.0,17.0,14.0,8.0,38.0,13.4,0.0,6.26,11,60
67,67,11.0,6.0,17.0,19.0,16.0,11.0,34.0,12.62,0.0,5.36,1,1
68,68,16.0,7.0,6.0,6.0,20.0,13.0,6.0,15.45,0.0,6.03,83,27
69,69,11.0,12.0,7.0,18.0,14.0,8.0,14.0,14.22,0.0,6.0,37,20
70,70,18.0,18.0,7.0,8.0,18.0,7.0,11.0,13.19,0.0,6.06,8,30
71,71,18.0,9.0,5.0,19.0,18.0,18.0,6.0,15.85,0.0,6.39,91,76
72,72,20.0,15.0,13.0,7.0,16.0,7.0,12.0,14.21,0.0,6.2,36,51
73,73,16.0,5.0,16.0,16.0,10.0,5.0,19.0,13.69,0.0,5.94,17,14
74,74,16.0,7.0,9.0,11.0,5.0,11.0,47.0,13.32,0.0,6.13,9,42
75,75,8.0,5.0,14.0,16.0,5.0,12.0,14.0,14.67,0.0,7.85,62,95
76,76,10.0,19.0,8.0,20.0,16.0,13.0,13.0,14.42,0.0,6.33,50,66
77,77,5.0,11.0,16.0,15.0,20.0,14.0,23.0,13.88,0.0,6.12,27,39
78,78,15.0,10.0,7.0,8.0,14.0,10.0,29.0,15.95,0.0,6.12,94,40
79,79,9.0,9.0,12.0,15.0,12.0,12.0,16.0,13.07,0.0,5.89,5,13
80,80,14.0,16.0,18.0,6.0,9.0,5.0,30.0,15.75,0.0,6.45,88,84
81,81,7.0,7.0,9.0,18.0,14.0,18.0,14.0,14.41,0.0,5.78,48,10
82,82,18.0,14.0,16.0,7.0,12.0,19.0,45.0,13.07,0.0,6.38,4,74
83,83,16.0,6.0,17.0,18.0,5.0,18.0,25.0,15.49,0.0,6.45,85,82
84,84,19.0,11.0,16.0,14.0,20.0,7.0,16.0,13.83,0.0,6.36,23,70
85,85,8.0,13.0,8.0,9.0,19.0,17.0,16.0,15.94,0.0,5.99,93,19
86,86,18.0,18.0,10.0,12.0,19.0,15.0,38.0,13.74,0.0,6.46,18,85
87,87,9.0,16.0,19.0,7.0,20.0,11.0,23.0,13.14,0.0,6.02,7,26
88,88,5.0,19.0,19.0,5.0,11.0,14.0,12.0,14.92,0.0,6.01,71,21
89,89,14.0,9.0,18.0,20.0,7.0,20.0,19.0,16.44,0.0,6.05,99,28
90,90,17.0,13.0,5.0,8.0,13.0,6.0,5.0,14.97,0.0,6.46,72,86
91,91,13.0,17.0,17.0,19.0,8.0,13.0,27.0,15.23,0.0,6.11,77,37
92,92,14.0,11.0,7.0,6.0,7.0,13.0,24.0,16.06,0.0,6.45,97,83
93,93,15.0,8.0,12.0,10.0,7.0,18.0,23.0,13.83,0.0,5.96,24,15
94,94,14.0,9.0,11.0,8.0,18.0,17.0,22.0,13.94,0.0,5.96,28,16
95,95,14.0,19.0,16.0,9.0,10.0,8.0,49.0,14.25,0.0,6.25,40,59
96,96,8.0,17.0,17.0,19.0,9.0,14.0,27.0,15.81,0.0,6.17,90,46
97,97,20.0,18.0,11.0,20.0,20.0,15.0,36.0,14.7,0.0,6.36,63,69
98,98,6.0,19.0,14.0,9.0,20.0,6.0,44.0,14.64,0.0,6.07,61,32
99,99,11.0,5.0,16.0,20.0,17.0,5.0,38.0,13.98,0.0,5.72,29,8
