idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,19,3,20,1,16,9,71,29.64,3550.0,,0
1,12,4,2,5,16,7,34,29.94,1700.0,,0
2,18,19,14,19,8,11,4,40.39,200.0,,0
3,4,7,19,9,10,4,9,39.67,450.0,,0
4,16,16,3,12,3,14,20,33.89,1000.0,,0
5,9,5,2,11,11,12,18,34.63,900.0,,0
6,14,9,17,10,18,11,2,41.59,100.0,,0
7,20,2,13,19,11,18,36,31.73,1800.0,,0
8,13,13,15,17,13,20,72,31.05,3600.0,,0
9,5,8,5,17,13,1,9,39.73,450.0,,0
10,20,13,14,13,19,15,18,36.08,900.0,,0
11,8,19,18,5,12,20,61,32.43,3050.0,,0
12,14,10,14,17,13,19,45,33.65,2250.0,,0
13,4,20,17,9,14,8,39,34.56,1950.0,,0
14,17,8,2,10,1,3,14,82.57,700.0,,0
15,9,20,6,11,18,19,73,32.8,3650.0,,0
16,8,7,16,18,18,16,51,42.22,2550.0,,0
17,6,19,2,10,1,9,61,1089.16,3050.0,,0
18,20,18,2,7,14,10,79,584.67,3950.0,,0
19,1,10,14,14,4,2,78,2845.03,3900.0,,0
0,12.0,4.0,2.0,5.0,16.0,7.0,34.0,29.94,1700.0,69416.5,1.0
1,18.0,19.0,14.0,19.0,8.0,11.0,4.0,40.39,200.0,69416.5,1.0
2,16.0,16.0,3.0,12.0,3.0,14.0,20.0,33.89,1000.0,69416.5,1.0
3,16.0,16.0,3.0,12.0,3.0,14.0,20.0,33.89,1000.0,69416.5,1.0
4,9.0,5.0,2.0,11.0,11.0,12.0,18.0,34.63,900.0,69416.5,1.0
5,14.0,9.0,17.0,10.0,18.0,11.0,2.0,41.59,100.0,69416.5,1.0
6,14.0,9.0,17.0,10.0,18.0,11.0,2.0,41.59,100.0,69416.5,1.0
7,8.0,19.0,5.0,17.0,13.0,1.0,9.0,38.67,450.0,69416.5,1.0
8,19.0,3.0,20.0,5.0,12.0,20.0,61.0,29.85,3050.0,69416.5,1.0
9,20.0,3.0,20.0,1.0,20.0,6.0,71.0,27.16,3550.0,69416.5,1.0
10,18.0,4.0,20.0,5.0,20.0,7.0,65.0,29.68,3250.0,69416.5,1.0
11,13.0,4.0,15.0,17.0,20.0,20.0,24.0,32.52,1200.0,69416.5,1.0
12,20.0,8.0,20.0,20.0,11.0,3.0,17.0,36.86,850.0,69416.5,1.0
13,20.0,2.0,13.0,19.0,11.0,18.0,36.0,31.73,1800.0,69416.5,1.0
14,20.0,2.0,13.0,19.0,11.0,18.0,36.0,31.73,1800.0,69416.5,1.0
