idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,6,2,9,1,12,13,3,20.25,150.0,,0
1,19,12,10,2,14,3,27,14.67,1350.0,,0
2,11,17,20,12,5,11,36,14.1,1800.0,,0
3,18,3,10,11,10,6,11,15.52,550.0,,0
4,18,13,2,8,20,12,33,15.04,1650.0,,0
5,12,17,12,17,9,15,14,15.55,700.0,,0
6,2,6,4,12,16,8,49,16.42,2450.0,,0
7,20,15,5,5,1,1,27,353.51,1350.0,,0
8,18,14,12,13,19,1,58,19.04,2900.0,,0
9,20,9,12,17,1,15,32,707904.6,1600.0,,0
10,14,6,5,9,3,11,39,398.32,1950.0,,0
11,12,10,16,11,6,16,61,100.21,3050.0,,0
12,2,6,20,7,4,8,60,268.35,3000.0,,0
13,20,19,1,20,11,3,40,25180.45,2000.0,,0
14,15,14,5,2,2,16,43,1488.3,2150.0,,0
15,7,6,6,10,11,7,70,149.12,3500.0,,0
16,7,6,7,13,10,1,47,3319.99,2350.0,,0
17,5,10,16,6,2,3,77,377.3,3850.0,,0
18,18,4,19,8,1,7,53,4874.26,2650.0,,0
19,9,6,13,6,3,5,80,1475.37,4000.0,,0
0,11.0,17.0,20.0,12.0,5.0,11.0,36.0,14.1,1800.0,135287.0,1.0
1,18.0,14.0,12.0,13.0,12.0,13.0,3.0,18.5,150.0,135287.0,1.0
2,20.0,6.0,12.0,20.0,20.0,15.0,14.0,15.35,700.0,135287.0,1.0
3,11.0,20.0,20.0,11.0,10.0,20.0,11.0,15.39,550.0,135287.0,1.0
4,11.0,17.0,20.0,12.0,20.0,3.0,27.0,14.46,1350.0,135287.0,1.0
5,12.0,12.0,10.0,2.0,14.0,20.0,36.0,14.28,1800.0,135287.0,1.0
6,20.0,15.0,5.0,1.0,12.0,13.0,3.0,18.63,150.0,135287.0,1.0
7,18.0,3.0,10.0,11.0,10.0,6.0,11.0,15.52,550.0,135287.0,1.0
8,20.0,17.0,12.0,17.0,20.0,15.0,14.0,15.42,700.0,135287.0,1.0
9,19.0,12.0,10.0,2.0,14.0,3.0,27.0,14.67,1350.0,135287.0,1.0
10,19.0,12.0,10.0,2.0,14.0,3.0,27.0,14.67,1350.0,135287.0,1.0
11,7.0,6.0,6.0,8.0,20.0,12.0,33.0,14.47,1650.0,135287.0,1.0
12,6.0,2.0,9.0,1.0,12.0,13.0,3.0,20.25,150.0,135287.0,1.0
13,12.0,17.0,12.0,17.0,9.0,15.0,14.0,15.55,700.0,135287.0,1.0
14,20.0,20.0,20.0,5.0,12.0,20.0,27.0,14.69,1350.0,135287.0,1.0
15,6.0,6.0,9.0,1.0,19.0,20.0,58.0,14.5,2900.0,135287.0,1.0
16,20.0,15.0,5.0,5.0,1.0,1.0,27.0,353.51,1350.0,135287.0,1.0
17,18.0,20.0,20.0,20.0,5.0,11.0,36.0,14.72,1800.0,135287.0,1.0
18,18.0,13.0,2.0,8.0,20.0,12.0,33.0,15.04,1650.0,135287.0,1.0
19,18.0,13.0,2.0,8.0,20.0,12.0,33.0,15.04,1650.0,135287.0,1.0
0,18.0,14.0,12.0,13.0,12.0,13.0,3.0,18.5,150.0,135771.0,2.0
1,20.0,6.0,12.0,20.0,20.0,15.0,14.0,15.35,700.0,135771.0,2.0
2,11.0,20.0,20.0,11.0,10.0,20.0,11.0,15.39,550.0,135771.0,2.0
3,11.0,20.0,20.0,11.0,10.0,20.0,11.0,15.39,550.0,135771.0,2.0
4,20.0,17.0,20.0,17.0,20.0,15.0,46.0,13.91,2300.0,135771.0,2.0
5,12.0,5.0,10.0,20.0,20.0,11.0,36.0,13.94,1800.0,135771.0,2.0
6,18.0,14.0,12.0,13.0,12.0,20.0,27.0,14.38,1350.0,135771.0,2.0
7,11.0,17.0,20.0,12.0,20.0,3.0,75.0,13.73,3750.0,135771.0,2.0
8,11.0,19.0,20.0,20.0,11.0,13.0,3.0,18.56,150.0,135771.0,2.0
9,18.0,3.0,10.0,11.0,10.0,6.0,11.0,15.52,550.0,135771.0,2.0
10,18.0,3.0,10.0,11.0,10.0,6.0,11.0,15.52,550.0,135771.0,2.0
11,20.0,17.0,12.0,17.0,20.0,15.0,14.0,15.42,700.0,135771.0,2.0
12,20.0,20.0,5.0,1.0,12.0,13.0,14.0,15.42,700.0,135771.0,2.0
13,11.0,17.0,20.0,12.0,5.0,11.0,36.0,14.1,1800.0,135771.0,2.0
14,11.0,20.0,20.0,1.0,19.0,20.0,58.0,13.99,2900.0,135771.0,2.0
15,11.0,17.0,20.0,12.0,20.0,3.0,27.0,14.46,1350.0,135771.0,2.0
16,20.0,15.0,5.0,1.0,12.0,13.0,3.0,18.63,150.0,135771.0,2.0
