idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,16,15,13,16,19,7,52,31.05,2600.0,,0
1,16,17,7,19,5,20,9,36.44,450.0,,0
2,10,17,3,17,18,8,45,33.89,2250.0,,0
3,8,1,10,11,8,9,5,38.85,250.0,,0
4,14,9,13,10,14,6,51,31.59,2550.0,,0
5,5,14,19,15,14,14,11,35.43,550.0,,0
6,19,3,10,4,2,3,14,34.46,700.0,,0
7,5,8,17,7,13,1,59,34.17,2950.0,,0
8,8,12,13,5,7,2,11,35.77,550.0,,0
9,19,15,10,18,12,14,18,35.3,900.0,,0
10,17,17,12,5,17,16,20,34.63,1000.0,,0
11,20,13,4,2,11,8,12,36.99,600.0,,0
12,4,6,1,7,6,10,15,37.4,750.0,,0
13,1,13,11,6,19,14,30,38.16,1500.0,,0
14,3,16,8,1,9,17,53,48.76,2650.0,,0
15,20,3,7,1,5,11,50,1143.12,2500.0,,0
16,6,20,4,18,11,12,64,70.31,3200.0,,0
17,16,13,4,9,4,3,50,5239.02,2500.0,,0
18,18,2,16,7,5,19,59,3062.51,2950.0,,0
19,17,20,7,10,5,12,68,4424.83,3400.0,,0
0,16.0,15.0,13.0,16.0,19.0,7.0,52.0,31.05,2600.0,66330.5,1.0
1,8.0,1.0,10.0,11.0,8.0,9.0,5.0,38.85,250.0,66330.5,1.0
2,14.0,9.0,13.0,10.0,14.0,6.0,51.0,31.59,2550.0,66330.5,1.0
3,19.0,3.0,10.0,4.0,2.0,3.0,14.0,34.46,700.0,66330.5,1.0
4,5.0,3.0,20.0,20.0,4.0,20.0,2.0,40.49,100.0,66330.5,1.0
5,20.0,1.0,20.0,11.0,8.0,9.0,7.0,35.31,350.0,66330.5,1.0
6,5.0,14.0,19.0,15.0,14.0,14.0,18.0,33.14,900.0,66330.5,1.0
7,20.0,14.0,20.0,11.0,14.0,17.0,53.0,30.85,2650.0,66330.5,1.0
8,20.0,13.0,20.0,20.0,8.0,14.0,5.0,39.0,250.0,66330.5,1.0
9,20.0,10.0,1.0,7.0,6.0,10.0,2.0,40.96,100.0,66330.5,1.0
10,16.0,17.0,7.0,19.0,5.0,20.0,9.0,36.44,450.0,66330.5,1.0
11,5.0,14.0,19.0,15.0,14.0,14.0,11.0,35.43,550.0,66330.5,1.0
12,10.0,17.0,3.0,17.0,18.0,8.0,45.0,33.89,2250.0,66330.5,1.0
13,19.0,20.0,20.0,18.0,20.0,20.0,18.0,34.42,900.0,66330.5,1.0
14,18.0,20.0,20.0,20.0,20.0,20.0,75.0,31.5,3750.0,66330.5,1.0
15,20.0,20.0,4.0,18.0,11.0,20.0,53.0,32.47,2650.0,66330.5,1.0
16,3.0,16.0,8.0,1.0,9.0,14.0,11.0,35.45,550.0,66330.5,1.0
17,5.0,8.0,17.0,7.0,13.0,1.0,59.0,34.17,2950.0,66330.5,1.0
18,17.0,17.0,12.0,5.0,17.0,16.0,20.0,34.63,1000.0,66330.5,1.0
19,19.0,15.0,10.0,18.0,12.0,14.0,18.0,35.3,900.0,66330.5,1.0
0,8.0,1.0,10.0,11.0,8.0,9.0,5.0,38.85,250.0,68457.5,2.0
1,19.0,3.0,10.0,4.0,2.0,3.0,14.0,34.46,700.0,68457.5,2.0
2,5.0,3.0,20.0,20.0,4.0,20.0,2.0,40.49,100.0,68457.5,2.0
3,20.0,10.0,10.0,11.0,8.0,9.0,2.0,40.49,100.0,68457.5,2.0
4,20.0,1.0,20.0,11.0,8.0,9.0,7.0,35.31,350.0,68457.5,2.0
5,20.0,1.0,20.0,11.0,8.0,9.0,7.0,35.31,350.0,68457.5,2.0
6,5.0,14.0,19.0,15.0,14.0,14.0,18.0,33.14,900.0,68457.5,2.0
7,5.0,14.0,19.0,15.0,14.0,14.0,18.0,33.14,900.0,68457.5,2.0
8,20.0,14.0,20.0,11.0,14.0,20.0,41.0,30.61,2050.0,68457.5,2.0
9,5.0,14.0,13.0,10.0,14.0,6.0,51.0,30.31,2550.0,68457.5,2.0
10,11.0,13.0,20.0,20.0,20.0,14.0,78.0,29.99,3900.0,68457.5,2.0
11,5.0,20.0,20.0,20.0,4.0,20.0,2.0,40.5,100.0,68457.5,2.0
12,16.0,15.0,13.0,16.0,19.0,7.0,53.0,30.67,2650.0,68457.5,2.0
13,10.0,17.0,3.0,17.0,18.0,8.0,45.0,33.89,2250.0,68457.5,2.0
14,14.0,9.0,19.0,15.0,14.0,14.0,18.0,34.01,900.0,68457.5,2.0
15,20.0,13.0,20.0,20.0,8.0,14.0,5.0,39.0,250.0,68457.5,2.0
16,14.0,9.0,13.0,20.0,14.0,6.0,51.0,30.98,2550.0,68457.5,2.0
17,20.0,10.0,20.0,11.0,6.0,14.0,11.0,35.33,550.0,68457.5,2.0
18,20.0,20.0,20.0,18.0,11.0,20.0,7.0,36.61,350.0,68457.5,2.0
19,16.0,17.0,7.0,19.0,5.0,20.0,9.0,36.44,450.0,68457.5,2.0
0,19.0,3.0,10.0,4.0,2.0,3.0,14.0,34.46,700.0,68554.0,3.0
1,5.0,3.0,20.0,20.0,4.0,20.0,2.0,40.49,100.0,68554.0,3.0
2,20.0,10.0,10.0,11.0,8.0,9.0,2.0,40.49,100.0,68554.0,3.0
3,5.0,3.0,20.0,20.0,4.0,20.0,2.0,40.49,100.0,68554.0,3.0
4,20.0,1.0,20.0,11.0,8.0,9.0,7.0,35.31,350.0,68554.0,3.0
5,20.0,1.0,20.0,11.0,8.0,9.0,7.0,35.31,350.0,68554.0,3.0
6,5.0,14.0,19.0,15.0,14.0,14.0,18.0,33.14,900.0,68554.0,3.0
7,5.0,14.0,19.0,15.0,14.0,14.0,18.0,33.14,900.0,68554.0,3.0
8,20.0,14.0,20.0,11.0,14.0,20.0,41.0,30.61,2050.0,68554.0,3.0
9,20.0,14.0,20.0,11.0,14.0,20.0,41.0,30.61,2050.0,68554.0,3.0
10,20.0,20.0,20.0,18.0,11.0,20.0,5.0,38.32,250.0,68554.0,3.0
11,20.0,3.0,20.0,20.0,20.0,14.0,78.0,29.81,3900.0,68554.0,3.0
12,5.0,14.0,19.0,15.0,14.0,14.0,45.0,30.57,2250.0,68554.0,3.0
13,20.0,9.0,19.0,15.0,14.0,20.0,51.0,30.3,2550.0,68554.0,3.0
14,5.0,20.0,20.0,20.0,4.0,20.0,2.0,40.5,100.0,68554.0,3.0
15,5.0,20.0,20.0,20.0,4.0,20.0,2.0,40.5,100.0,68554.0,3.0
16,11.0,13.0,20.0,20.0,20.0,14.0,78.0,29.99,3900.0,68554.0,3.0
17,5.0,14.0,13.0,10.0,14.0,6.0,51.0,30.31,2550.0,68554.0,3.0
18,20.0,9.0,20.0,11.0,14.0,14.0,18.0,33.43,900.0,68554.0,3.0
19,8.0,1.0,10.0,11.0,8.0,9.0,5.0,38.85,250.0,68554.0,3.0
0,19.0,3.0,10.0,4.0,2.0,3.0,14.0,34.46,700.0,68828.5,4.0
