,idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,gen,fitness_cnn,rank_celm,rank_cnn
0,0,17.0,18.0,6.0,13.0,20.0,17.0,24.0,15.6,0.0,6.19,42,43
1,1,20.0,16.0,11.0,9.0,14.0,9.0,11.0,17.09,0.0,6.07,72,24
2,2,13.0,9.0,14.0,8.0,7.0,15.0,35.0,14.63,0.0,5.85,26,6
3,3,8.0,16.0,18.0,15.0,11.0,20.0,33.0,15.75,0.0,6.38,48,69
4,4,13.0,6.0,5.0,7.0,17.0,5.0,44.0,14.27,0.0,7.74,13,92
5,5,20.0,15.0,12.0,15.0,7.0,11.0,41.0,15.32,0.0,6.29,38,61
6,6,12.0,12.0,9.0,19.0,7.0,7.0,25.0,16.29,0.0,6.39,55,70
7,7,20.0,8.0,14.0,14.0,8.0,15.0,39.0,15.66,0.0,5.86,45,7
8,8,11.0,14.0,19.0,7.0,17.0,15.0,41.0,15.29,0.0,6.15,37,37
9,9,12.0,14.0,10.0,11.0,10.0,6.0,44.0,13.65,0.0,6.24,3,54
10,10,13.0,20.0,7.0,7.0,9.0,9.0,7.0,18.59,0.0,6.99,93,85
11,11,7.0,17.0,13.0,12.0,11.0,18.0,42.0,14.52,0.0,6.11,23,30
12,12,13.0,19.0,20.0,16.0,7.0,15.0,44.0,16.27,0.0,6.46,54,75
13,13,8.0,20.0,15.0,11.0,12.0,5.0,22.0,14.24,0.0,6.21,12,46
14,14,8.0,12.0,16.0,10.0,15.0,18.0,8.0,17.83,0.0,6.01,83,18
15,15,8.0,9.0,12.0,6.0,7.0,5.0,12.0,16.85,0.0,8.99,66,96
16,16,11.0,8.0,17.0,7.0,16.0,8.0,7.0,18.04,0.0,6.05,86,21
17,17,5.0,11.0,10.0,8.0,20.0,11.0,8.0,16.78,0.0,7.34,64,88
18,18,5.0,18.0,8.0,13.0,7.0,12.0,9.0,19.25,0.0,8.1,98,94
19,19,14.0,16.0,18.0,10.0,6.0,19.0,7.0,18.11,0.0,6.17,88,39
20,20,8.0,17.0,11.0,13.0,16.0,20.0,41.0,14.0,0.0,6.45,8,73
21,21,10.0,11.0,6.0,10.0,10.0,15.0,38.0,13.57,0.0,6.25,2,55
22,22,13.0,8.0,19.0,10.0,5.0,20.0,48.0,14.6,0.0,5.88,24,10
23,23,18.0,14.0,16.0,17.0,13.0,9.0,40.0,14.6,0.0,6.21,25,47
24,24,5.0,19.0,7.0,15.0,6.0,13.0,13.0,15.2,0.0,6.89,35,83
25,25,12.0,20.0,16.0,14.0,16.0,9.0,50.0,14.45,0.0,6.29,20,62
26,26,14.0,17.0,18.0,7.0,5.0,11.0,49.0,15.39,0.0,6.14,40,35
27,27,15.0,10.0,12.0,12.0,19.0,17.0,50.0,14.83,0.0,6.21,30,48
28,28,18.0,6.0,17.0,18.0,6.0,10.0,33.0,16.17,0.0,5.76,53,3
29,29,7.0,13.0,10.0,19.0,20.0,5.0,7.0,17.96,0.0,6.31,85,63
30,30,20.0,15.0,14.0,19.0,6.0,18.0,17.0,17.47,0.0,6.12,80,32
31,31,7.0,9.0,5.0,17.0,18.0,15.0,5.0,19.66,0.0,8.92,100,95
32,32,11.0,5.0,5.0,8.0,11.0,8.0,43.0,16.83,0.0,6.57,65,79
33,33,11.0,14.0,13.0,10.0,8.0,20.0,30.0,16.69,0.0,6.15,60,36
34,34,7.0,5.0,13.0,19.0,8.0,13.0,13.0,18.86,0.0,9.34,95,98
35,35,16.0,8.0,9.0,13.0,5.0,6.0,7.0,18.37,0.0,8.09,91,93
36,36,11.0,13.0,15.0,16.0,6.0,20.0,50.0,14.88,0.0,6.08,31,25
37,37,19.0,18.0,16.0,10.0,11.0,17.0,42.0,13.8,0.0,6.61,4,80
38,38,14.0,5.0,9.0,9.0,13.0,15.0,26.0,15.1,0.0,5.91,34,12
39,39,16.0,7.0,15.0,6.0,6.0,13.0,15.0,17.01,0.0,7.41,69,89
40,40,9.0,14.0,16.0,17.0,9.0,14.0,12.0,16.89,0.0,6.01,67,17
41,41,20.0,12.0,6.0,14.0,10.0,7.0,24.0,14.34,0.0,6.23,15,52
42,42,17.0,15.0,14.0,18.0,8.0,8.0,40.0,14.4,0.0,6.17,18,42
43,43,20.0,20.0,15.0,15.0,8.0,20.0,12.0,16.0,0.0,6.21,51,49
44,44,20.0,18.0,6.0,14.0,15.0,9.0,15.0,17.54,0.0,6.11,81,31
45,45,17.0,7.0,7.0,7.0,11.0,12.0,8.0,18.69,0.0,7.21,94,86
46,46,17.0,5.0,8.0,17.0,14.0,19.0,36.0,14.82,0.0,5.66,29,2
47,47,11.0,18.0,7.0,16.0,12.0,13.0,42.0,14.24,0.0,6.01,11,16
48,48,10.0,18.0,11.0,16.0,8.0,7.0,49.0,14.16,0.0,6.09,10,26
49,49,5.0,19.0,11.0,8.0,20.0,17.0,21.0,17.39,0.0,6.2,78,44
50,50,11.0,6.0,11.0,9.0,8.0,11.0,34.0,13.83,0.0,6.2,5,45
51,51,17.0,16.0,9.0,8.0,20.0,9.0,41.0,14.33,0.0,6.14,14,34
52,52,17.0,18.0,20.0,15.0,20.0,20.0,45.0,13.56,0.0,7.23,1,87
53,53,11.0,12.0,5.0,15.0,15.0,15.0,7.0,19.15,0.0,6.99,97,84
54,54,9.0,13.0,9.0,17.0,14.0,20.0,9.0,17.4,0.0,6.04,79,20
55,55,7.0,6.0,7.0,12.0,9.0,6.0,24.0,16.01,0.0,9.2,52,97
56,56,5.0,19.0,15.0,10.0,9.0,19.0,28.0,15.25,0.0,6.16,36,38
57,57,17.0,6.0,7.0,7.0,18.0,11.0,23.0,15.35,0.0,6.22,39,51
58,58,18.0,20.0,17.0,12.0,5.0,5.0,16.0,16.55,0.0,6.5,57,77
59,59,14.0,13.0,15.0,7.0,20.0,13.0,24.0,14.72,0.0,6.46,27,74
60,60,18.0,17.0,17.0,6.0,10.0,9.0,20.0,14.93,0.0,5.99,33,15
61,61,14.0,15.0,6.0,6.0,20.0,18.0,14.0,17.33,0.0,6.27,76,58
62,62,20.0,7.0,9.0,16.0,18.0,6.0,44.0,15.89,0.0,5.87,49,9
63,63,19.0,17.0,19.0,6.0,8.0,20.0,14.0,17.2,0.0,6.26,74,57
64,64,5.0,6.0,9.0,15.0,8.0,16.0,17.0,15.65,0.0,9.62,44,100
65,65,17.0,20.0,8.0,6.0,19.0,15.0,46.0,14.46,0.0,6.57,21,78
66,66,8.0,14.0,9.0,17.0,14.0,8.0,38.0,13.95,0.0,6.09,6,27
67,67,11.0,6.0,17.0,19.0,16.0,11.0,34.0,14.41,0.0,5.81,19,4
68,68,16.0,7.0,6.0,6.0,20.0,13.0,6.0,17.87,0.0,6.26,84,56
69,69,11.0,12.0,7.0,18.0,14.0,8.0,14.0,17.06,0.0,6.31,70,64
70,70,18.0,18.0,7.0,8.0,18.0,7.0,11.0,17.69,0.0,6.74,82,81
71,71,18.0,9.0,5.0,19.0,18.0,18.0,6.0,18.95,0.0,6.07,96,23
72,72,20.0,15.0,13.0,7.0,16.0,7.0,12.0,15.67,0.0,6.1,46,28
73,73,16.0,5.0,16.0,16.0,10.0,5.0,19.0,17.18,0.0,7.63,73,90
74,74,16.0,7.0,9.0,11.0,5.0,11.0,47.0,14.35,0.0,6.24,16,53
75,75,8.0,5.0,14.0,16.0,5.0,12.0,14.0,17.26,0.0,9.36,75,99
76,76,10.0,19.0,8.0,20.0,16.0,13.0,13.0,17.33,0.0,6.28,77,60
77,77,5.0,11.0,16.0,15.0,20.0,14.0,23.0,18.47,0.0,6.28,92,59
78,78,15.0,10.0,7.0,8.0,14.0,10.0,29.0,16.72,0.0,6.37,61,68
79,79,9.0,9.0,12.0,15.0,12.0,12.0,16.0,18.24,0.0,6.35,89,67
80,80,14.0,16.0,18.0,6.0,9.0,5.0,30.0,14.35,0.0,6.05,17,22
81,81,7.0,7.0,9.0,18.0,14.0,18.0,14.0,17.06,0.0,6.82,71,82
82,82,18.0,14.0,16.0,7.0,12.0,19.0,45.0,14.15,0.0,6.22,9,50
83,83,16.0,6.0,17.0,18.0,5.0,18.0,25.0,15.95,0.0,5.9,50,11
84,84,19.0,11.0,16.0,14.0,20.0,7.0,16.0,16.77,0.0,5.86,63,8
85,85,8.0,13.0,8.0,9.0,19.0,17.0,16.0,16.92,0.0,6.17,68,40
86,86,18.0,18.0,10.0,12.0,19.0,15.0,38.0,16.66,0.0,6.46,59,76
87,87,9.0,16.0,19.0,7.0,20.0,11.0,23.0,15.68,0.0,5.95,47,14
88,88,5.0,19.0,19.0,5.0,11.0,14.0,12.0,18.32,0.0,6.41,90,71
89,89,14.0,9.0,18.0,20.0,7.0,20.0,19.0,16.77,0.0,6.04,62,19
90,90,17.0,13.0,5.0,8.0,13.0,6.0,5.0,19.58,0.0,7.69,99,91
91,91,13.0,17.0,17.0,19.0,8.0,13.0,27.0,14.79,0.0,5.94,28,13
92,92,14.0,11.0,7.0,6.0,7.0,13.0,24.0,18.04,0.0,6.17,87,41
93,93,15.0,8.0,12.0,10.0,7.0,18.0,23.0,16.58,0.0,6.1,58,29
94,94,14.0,9.0,11.0,8.0,18.0,17.0,22.0,16.4,0.0,5.83,56,5
95,95,14.0,19.0,16.0,9.0,10.0,8.0,49.0,15.6,0.0,6.12,41,33
96,96,8.0,17.0,17.0,19.0,9.0,14.0,27.0,14.9,0.0,6.35,32,66
97,97,20.0,18.0,11.0,20.0,20.0,15.0,36.0,15.61,0.0,6.44,43,72
98,98,6.0,19.0,14.0,9.0,20.0,6.0,44.0,13.97,0.0,6.34,7,65
99,99,11.0,5.0,16.0,20.0,17.0,5.0,38.0,14.47,0.0,5.48,22,1
