idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen
2,5.0,15.0,5.0,5.0,14.0,12.618,3.0
3,5.0,5.0,3.0,4.0,3.0,12.7555,3.0
4,5.0,5.0,3.0,4.0,3.0,12.7555,3.0
5,5.0,4.0,5.0,9.0,12.0,12.4326,3.0
6,5.0,12.0,5.0,13.0,5.0,12.6344,3.0
7,4.0,15.0,5.0,9.0,2.0,12.8077,3.0
8,4.0,11.0,5.0,7.0,18.0,12.9793,3.0
9,5.0,7.0,3.0,19.0,19.0,12.867,3.0
10,5.0,10.0,5.0,6.0,14.0,12.6351,3.0
11,4.0,11.0,5.0,7.0,18.0,12.9793,3.0
12,4.0,11.0,5.0,7.0,18.0,12.9793,3.0
13,4.0,11.0,5.0,7.0,18.0,12.9793,3.0
14,3.0,19.0,4.0,3.0,3.0,12.4985,3.0
15,3.0,12.0,5.0,20.0,8.0,12.9354,3.0
16,4.0,11.0,4.0,4.0,10.0,13.05,3.0
17,4.0,18.0,4.0,15.0,6.0,12.8312,3.0
18,3.0,15.0,4.0,3.0,3.0,12.883,3.0
19,4.0,10.0,5.0,13.0,17.0,12.9148,3.0
20,4.0,11.0,4.0,2.0,6.0,13.0066,3.0
21,4.0,15.0,3.0,4.0,3.0,13.1505,3.0
22,3.0,3.0,3.0,20.0,4.0,13.1732,3.0
23,5.0,4.0,5.0,9.0,18.0,12.7921,3.0
24,3.0,4.0,5.0,20.0,5.0,12.9887,3.0
25,3.0,17.0,4.0,20.0,6.0,13.03,3.0
26,2.0,5.0,5.0,11.0,1.0,13.1206,3.0
27,3.0,19.0,5.0,11.0,1.0,13.0776,3.0
28,5.0,9.0,5.0,13.0,12.0,12.8061,3.0
29,3.0,15.0,5.0,5.0,1.0,12.7011,3.0
