idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen
0,5.0,5.0,5.0,9.0,2.0,12.5261,1.0
1,4.0,15.0,3.0,4.0,3.0,13.1505,1.0
2,5.0,7.0,5.0,5.0,10.0,12.8481,1.0
3,5.0,7.0,5.0,18.0,19.0,12.8947,1.0
4,5.0,5.0,3.0,4.0,3.0,12.7555,1.0
5,4.0,11.0,5.0,7.0,18.0,12.9793,1.0
6,4.0,11.0,5.0,7.0,18.0,12.9793,1.0
7,4.0,15.0,5.0,9.0,2.0,12.8077,1.0
8,2.0,18.0,4.0,3.0,12.0,12.9819,1.0
9,5.0,16.0,3.0,8.0,11.0,13.0632,1.0
10,3.0,3.0,3.0,20.0,4.0,13.1732,1.0
11,2.0,18.0,4.0,3.0,3.0,13.1313,1.0
12,3.0,17.0,4.0,4.0,10.0,13.0635,1.0
13,5.0,3.0,1.0,15.0,6.0,14.4462,1.0
14,5.0,11.0,4.0,2.0,4.0,12.8535,1.0
15,3.0,15.0,1.0,20.0,13.0,18.0908,1.0
16,2.0,4.0,5.0,9.0,18.0,14.1815,1.0
17,5.0,19.0,1.0,10.0,6.0,15.3213,1.0
18,4.0,3.0,1.0,5.0,5.0,14.9946,1.0
19,4.0,10.0,5.0,13.0,17.0,12.9148,1.0
20,3.0,17.0,5.0,17.0,11.0,13.2358,1.0
21,4.0,19.0,3.0,15.0,16.0,13.4503,1.0
22,3.0,3.0,3.0,20.0,4.0,13.1732,1.0
23,4.0,19.0,3.0,7.0,8.0,12.9816,1.0
24,5.0,1.0,1.0,13.0,1.0,16.3173,1.0
25,2.0,11.0,4.0,2.0,4.0,14.0893,1.0
26,3.0,4.0,1.0,20.0,13.0,14.8193,1.0
27,3.0,19.0,5.0,11.0,1.0,13.0776,1.0
28,5.0,9.0,5.0,13.0,12.0,12.8061,1.0
29,5.0,9.0,1.0,8.0,9.0,15.5523,1.0
0,5.0,5.0,5.0,9.0,2.0,12.5261,2.0
1,4.0,15.0,3.0,4.0,3.0,13.1505,2.0
2,5.0,15.0,5.0,1.0,2.0,12.7758,2.0
3,5.0,7.0,5.0,18.0,19.0,12.8947,2.0
4,5.0,5.0,3.0,4.0,3.0,12.7555,2.0
5,4.0,11.0,5.0,7.0,18.0,12.9793,2.0
6,5.0,7.0,5.0,13.0,17.0,12.8409,2.0
7,4.0,15.0,5.0,9.0,2.0,12.8077,2.0
8,4.0,11.0,5.0,7.0,18.0,12.9793,2.0
9,4.0,11.0,5.0,7.0,18.0,12.9793,2.0
10,4.0,19.0,3.0,7.0,8.0,12.9816,2.0
11,2.0,18.0,4.0,3.0,3.0,13.1313,2.0
12,3.0,17.0,4.0,4.0,10.0,13.0635,2.0
13,3.0,17.0,4.0,3.0,11.0,13.2465,2.0
14,3.0,19.0,4.0,3.0,3.0,12.4985,2.0
15,2.0,18.0,5.0,11.0,1.0,13.3251,2.0
16,4.0,15.0,3.0,4.0,3.0,13.1505,2.0
17,3.0,3.0,3.0,20.0,4.0,13.1732,2.0
18,3.0,3.0,3.0,20.0,4.0,13.1732,2.0
19,4.0,10.0,5.0,13.0,17.0,12.9148,2.0
20,4.0,11.0,4.0,2.0,6.0,13.0066,2.0
21,4.0,19.0,3.0,15.0,16.0,13.4503,2.0
22,3.0,3.0,3.0,20.0,4.0,13.1732,2.0
23,5.0,4.0,5.0,9.0,18.0,12.7921,2.0
24,3.0,4.0,5.0,20.0,5.0,12.9887,2.0
25,2.0,11.0,4.0,2.0,4.0,14.0893,2.0
26,3.0,4.0,1.0,20.0,13.0,14.8193,2.0
27,3.0,19.0,5.0,11.0,1.0,13.0776,2.0
28,5.0,9.0,5.0,13.0,12.0,12.8061,2.0
29,3.0,15.0,5.0,5.0,1.0,12.7011,2.0
0,5.0,5.0,5.0,9.0,2.0,12.5261,3.0
1,5.0,5.0,5.0,3.0,3.0,12.7448,3.0
