idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,4,11,1,1,1,18,2,22.15,100.0,,0
1,10,19,16,17,13,19,5,17.64,250.0,,0
2,17,12,19,12,15,9,71,14.09,3550.0,,0
3,7,17,14,16,12,14,45,14.17,2250.0,,0
4,20,1,8,6,18,19,24,14.38,1200.0,,0
5,10,1,14,18,4,6,38,149.18,1900.0,,0
6,4,11,17,14,17,7,39,14.42,1950.0,,0
7,13,12,16,1,16,2,40,14.44,2000.0,,0
8,16,13,7,4,16,1,50,1006.62,2500.0,,0
9,8,1,7,18,18,8,52,15.52,2600.0,,0
10,13,7,14,1,17,8,57,38.7,2850.0,,0
11,1,18,18,20,20,11,59,16.42,2950.0,,0
12,5,19,3,9,4,16,58,316.48,2900.0,,0
13,16,18,8,12,8,8,59,19.27,2950.0,,0
14,20,19,19,13,6,6,65,125.8,3250.0,,0
15,14,20,1,15,9,8,76,279.22,3800.0,,0
16,16,8,13,14,6,12,71,369.52,3550.0,,0
17,12,3,15,17,4,6,67,608.59,3350.0,,0
18,7,14,2,16,12,19,71,593.57,3550.0,,0
19,20,1,13,17,5,17,72,6293.06,3600.0,,0
0,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,135934.5,1.0
1,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,135934.5,1.0
2,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,135934.5,1.0
3,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,135934.5,1.0
4,20.0,12.0,16.0,1.0,20.0,2.0,40.0,14.15,2000.0,135934.5,1.0
5,20.0,11.0,20.0,20.0,1.0,18.0,2.0,20.34,100.0,135934.5,1.0
6,16.0,18.0,8.0,14.0,17.0,20.0,39.0,14.23,1950.0,135934.5,1.0
7,20.0,19.0,16.0,12.0,13.0,19.0,5.0,17.1,250.0,135934.5,1.0
8,20.0,1.0,14.0,20.0,18.0,19.0,24.0,14.47,1200.0,135934.5,1.0
9,7.0,17.0,14.0,16.0,12.0,14.0,45.0,14.17,2250.0,135934.5,1.0
10,7.0,17.0,14.0,16.0,12.0,14.0,45.0,14.17,2250.0,135934.5,1.0
11,4.0,11.0,1.0,1.0,1.0,18.0,2.0,22.15,100.0,135934.5,1.0
12,4.0,11.0,17.0,14.0,17.0,7.0,39.0,14.42,1950.0,135934.5,1.0
13,10.0,19.0,16.0,17.0,13.0,19.0,5.0,17.64,250.0,135934.5,1.0
14,4.0,11.0,17.0,14.0,20.0,8.0,39.0,14.43,1950.0,135934.5,1.0
15,5.0,1.0,20.0,18.0,4.0,20.0,38.0,20.51,1900.0,135934.5,1.0
16,13.0,12.0,16.0,1.0,16.0,2.0,40.0,14.44,2000.0,135934.5,1.0
17,20.0,20.0,14.0,18.0,4.0,20.0,38.0,21.25,1900.0,135934.5,1.0
18,20.0,19.0,19.0,13.0,6.0,6.0,40.0,15.29,2000.0,135934.5,1.0
19,10.0,1.0,14.0,18.0,4.0,6.0,38.0,149.18,1900.0,135934.5,1.0
0,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136384.0,2.0
1,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136384.0,2.0
2,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136384.0,2.0
3,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136384.0,2.0
4,20.0,12.0,16.0,1.0,20.0,2.0,40.0,14.15,2000.0,136384.0,2.0
5,16.0,18.0,8.0,14.0,17.0,20.0,39.0,14.23,1950.0,136384.0,2.0
6,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136384.0,2.0
7,5.0,11.0,20.0,20.0,1.0,20.0,2.0,19.94,100.0,136384.0,2.0
8,20.0,1.0,14.0,20.0,18.0,19.0,24.0,14.47,1200.0,136384.0,2.0
9,7.0,17.0,14.0,16.0,12.0,14.0,45.0,14.17,2250.0,136384.0,2.0
10,7.0,17.0,14.0,16.0,12.0,14.0,45.0,14.17,2250.0,136384.0,2.0
11,7.0,17.0,14.0,16.0,12.0,14.0,45.0,14.17,2250.0,136384.0,2.0
12,20.0,1.0,8.0,6.0,18.0,2.0,40.0,14.18,2000.0,136384.0,2.0
13,20.0,12.0,20.0,20.0,15.0,9.0,71.0,14.15,3550.0,136384.0,2.0
14,4.0,11.0,17.0,14.0,17.0,7.0,39.0,14.42,1950.0,136384.0,2.0
15,20.0,19.0,16.0,12.0,13.0,19.0,5.0,17.1,250.0,136384.0,2.0
16,20.0,20.0,20.0,20.0,1.0,20.0,2.0,20.12,100.0,136384.0,2.0
17,4.0,11.0,17.0,14.0,20.0,8.0,39.0,14.43,1950.0,136384.0,2.0
18,4.0,11.0,17.0,14.0,20.0,8.0,39.0,14.43,1950.0,136384.0,2.0
19,20.0,11.0,20.0,20.0,1.0,18.0,2.0,20.34,100.0,136384.0,2.0
0,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136515.5,3.0
1,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136515.5,3.0
2,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136515.5,3.0
3,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136515.5,3.0
4,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136515.5,3.0
5,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136515.5,3.0
6,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136515.5,3.0
7,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136515.5,3.0
8,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136515.5,3.0
9,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136515.5,3.0
10,20.0,11.0,20.0,20.0,20.0,18.0,2.0,19.41,100.0,136515.5,3.0
11,20.0,1.0,14.0,20.0,18.0,19.0,24.0,14.47,1200.0,136515.5,3.0
12,20.0,19.0,16.0,12.0,13.0,19.0,5.0,17.1,250.0,136515.5,3.0
13,20.0,12.0,16.0,1.0,20.0,2.0,40.0,14.15,2000.0,136515.5,3.0
14,16.0,18.0,8.0,14.0,17.0,20.0,39.0,14.23,1950.0,136515.5,3.0
15,5.0,11.0,20.0,20.0,1.0,20.0,2.0,19.94,100.0,136515.5,3.0
16,5.0,11.0,20.0,20.0,1.0,20.0,2.0,19.94,100.0,136515.5,3.0
17,20.0,12.0,20.0,20.0,15.0,9.0,71.0,14.15,3550.0,136515.5,3.0
18,20.0,20.0,20.0,20.0,1.0,20.0,2.0,20.12,100.0,136515.5,3.0
19,20.0,20.0,20.0,20.0,1.0,20.0,2.0,20.12,100.0,136515.5,3.0
0,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,4.0
1,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,4.0
2,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,4.0
3,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,4.0
4,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136737.5,4.0
5,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136737.5,4.0
6,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136737.5,4.0
7,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136737.5,4.0
8,20.0,12.0,16.0,20.0,15.0,20.0,71.0,14.04,3550.0,136737.5,4.0
9,20.0,11.0,20.0,20.0,20.0,18.0,2.0,19.41,100.0,136737.5,4.0
10,20.0,11.0,20.0,20.0,20.0,18.0,2.0,19.41,100.0,136737.5,4.0
11,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136737.5,4.0
12,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136737.5,4.0
13,20.0,19.0,16.0,12.0,13.0,19.0,5.0,17.1,250.0,136737.5,4.0
14,20.0,1.0,14.0,20.0,18.0,19.0,24.0,14.47,1200.0,136737.5,4.0
15,20.0,12.0,16.0,1.0,20.0,2.0,40.0,14.15,2000.0,136737.5,4.0
16,20.0,1.0,14.0,20.0,18.0,19.0,24.0,14.47,1200.0,136737.5,4.0
17,16.0,18.0,8.0,14.0,17.0,20.0,39.0,14.23,1950.0,136737.5,4.0
18,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136737.5,4.0
19,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136737.5,4.0
0,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,5.0
1,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,5.0
2,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,5.0
3,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136737.5,5.0
4,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136737.5,5.0
5,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136737.5,5.0
6,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136737.5,5.0
7,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136737.5,5.0
8,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136737.5,5.0
9,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136737.5,5.0
10,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136737.5,5.0
11,20.0,12.0,16.0,20.0,15.0,20.0,71.0,14.04,3550.0,136737.5,5.0
12,20.0,12.0,16.0,20.0,15.0,20.0,71.0,14.04,3550.0,136737.5,5.0
13,20.0,12.0,16.0,20.0,15.0,20.0,71.0,14.04,3550.0,136737.5,5.0
14,20.0,11.0,20.0,20.0,20.0,18.0,2.0,19.41,100.0,136737.5,5.0
15,20.0,11.0,20.0,20.0,20.0,18.0,2.0,19.41,100.0,136737.5,5.0
16,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136737.5,5.0
17,17.0,12.0,19.0,12.0,15.0,9.0,71.0,14.09,3550.0,136737.5,5.0
18,20.0,11.0,20.0,20.0,20.0,7.0,5.0,16.88,250.0,136737.5,5.0
19,20.0,1.0,14.0,20.0,18.0,19.0,24.0,14.47,1200.0,136737.5,5.0
0,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136939.5,6.0
1,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136939.5,6.0
2,20.0,11.0,20.0,20.0,20.0,18.0,63.0,13.84,3150.0,136939.5,6.0
3,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136939.5,6.0
4,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136939.5,6.0
5,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136939.5,6.0
6,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136939.5,6.0
7,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136939.5,6.0
8,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136939.5,6.0
9,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136939.5,6.0
10,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136939.5,6.0
11,20.0,1.0,8.0,6.0,18.0,19.0,24.0,14.38,1200.0,136939.5,6.0
12,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136939.5,6.0
13,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136939.5,6.0
14,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,136939.5,6.0
15,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136939.5,6.0
16,20.0,11.0,20.0,20.0,20.0,7.0,39.0,14.12,1950.0,136939.5,6.0
17,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136939.5,6.0
18,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136939.5,6.0
19,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,136939.5,6.0
0,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
1,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
2,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
3,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
4,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
5,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
6,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
7,20.0,19.0,16.0,12.0,20.0,20.0,2.0,18.08,100.0,137212.5,7.0
8,20.0,11.0,20.0,20.0,20.0,18.0,63.0,13.84,3150.0,137212.5,7.0
9,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,137212.5,7.0
10,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,137212.5,7.0
11,20.0,19.0,16.0,12.0,20.0,19.0,5.0,16.69,250.0,137212.5,7.0
