0,1,2,val_rmse,num_neuron,test_rmse,test_score
4,27,4,17.23389950110785,310,20.69,2222.85
4,11,10,17.24216416076684,210,20.47,2137.74
7,8,19,17.224766415966084,270,20.51,2032.16
3,3,21,17.329073771291334,240,20.62,2060.07
3,10,24,17.227871649932254,340,20.67,2251.81
7,10,22,17.25459498021986,320,20.31,2258.6
7,3,24,17.25857122033982,270,20.63,2080.3
3,10,10,17.273706661796684,200,20.58,2174.72
7,13,9,17.210240004997367,220,20.94,2419.69
3,24,2,17.295427042919133,260,20.45,2177.98
7,23,2,17.310428475149102,250,20.44,1975.71
7,19,2,17.330448087936503,210,20.45,2343.31
3,29,2,17.205133612892404,310,20.52,2106.69
3,29,1,17.211425532960224,300,20.53,2115.65
7,6,22,17.215846164938352,280,20.74,2156.33
7,1,22,17.343541335235056,230,20.28,1811.58
7,1,25,17.21575980661151,260,20.5,1756.64
7,12,20,17.26697555481067,320,20.57,2086.47
7,21,8,17.281976475114156,290,20.57,2102.04
7,12,8,17.291843230942042,200,20.71,2059.52
