0,1,2,val_rmse,num_neuron,test_rmse,test_score
7,57,4,19.023065617967557,610,31.42,10370.44
7,56,4,19.140812261713148,600,31.63,10727.96
7,52,4,19.221146390536585,560,31.69,10409.31
7,38,16,19.261367705320065,540,31.86,10829.1
7,54,3,19.064175746599883,570,31.39,9986.1
7,53,3,19.128955112513477,560,31.51,9970.69
7,44,5,19.196610540141027,490,31.65,10690.93
7,44,3,19.223321667596583,470,31.68,10760.16
7,20,25,19.4683770990108,450,32.04,10903.58
7,21,25,19.379647304353064,460,32.18,11376.0
7,41,6,19.188344385810723,470,31.78,10540.89
7,55,1,19.069317729901396,560,31.58,10367.77
7,41,3,19.218226342554587,440,31.68,10046.3
7,24,18,19.40277019122361,420,32.08,11396.66
7,37,16,19.20684852914556,530,31.64,10848.95
7,51,8,19.06579585861201,590,31.5,10723.51
7,49,8,19.13478387213011,570,31.6,10903.31
7,19,36,19.31356675401183,550,31.85,10407.14
7,35,8,19.353294476447203,430,31.91,10567.87
7,49,5,19.20105308359228,540,31.5,10406.09
7,33,15,19.33915284398979,480,31.92,11255.11
7,33,10,19.353937898009505,430,31.86,11044.5
7,53,8,19.089864368166783,610,31.59,10626.22
7,46,8,19.20795088938584,540,31.64,10306.61
7,26,25,19.263862304255003,510,31.7,11069.26
7,38,8,19.32627192565906,460,31.66,10756.22
7,33,9,19.41105708780824,420,31.81,10441.6
7,54,2,19.10191830340682,560,31.56,10431.12
7,44,7,19.13432592060986,510,31.53,10323.24
7,44,2,19.177027804974617,460,31.58,10317.35
