idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,fitness_1,fitness_2,hv,gen
0,8,10,4,13,16,5,12,37.68,600.0,,0
1,3,1,13,18,10,2,29,29.04,1450.0,,0
2,10,1,10,19,10,17,25,33.98,1250.0,,0
3,14,14,20,10,14,15,21,34.01,1050.0,,0
4,9,17,18,16,11,5,26,33.22,1300.0,,0
5,14,19,11,18,7,11,13,37.43,650.0,,0
6,17,18,12,9,6,4,34,31.72,1700.0,,0
7,7,1,9,9,7,6,40,30.41,2000.0,,0
8,5,14,20,3,10,20,25,34.1,1250.0,,0
9,15,10,5,9,13,20,21,35.83,1050.0,,0
10,12,12,10,19,4,15,27,33.41,1350.0,,0
11,2,8,9,19,20,8,16,38.9,800.0,,0
12,3,10,11,1,11,10,42,31.87,2100.0,,0
13,14,7,4,2,2,2,22,147.48,1100.0,,0
14,3,14,7,15,9,6,46,32.06,2300.0,,0
15,11,19,1,12,2,15,22,40314.18,1100.0,,0
16,10,12,3,20,11,13,65,36.23,3250.0,,0
17,11,6,10,15,1,2,46,931.98,2300.0,,0
18,8,6,8,16,9,3,71,51.48,3550.0,,0
19,8,10,9,2,3,2,60,2603.72,3000.0,,0
0,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,72171.0,1.0
1,7.0,1.0,9.0,1.0,11.0,10.0,42.0,26.67,2100.0,72171.0,1.0
2,9.0,2.0,20.0,20.0,11.0,5.0,26.0,31.8,1300.0,72171.0,1.0
3,8.0,8.0,20.0,13.0,16.0,5.0,12.0,37.66,600.0,72171.0,1.0
4,20.0,12.0,3.0,20.0,7.0,11.0,13.0,36.78,650.0,72171.0,1.0
5,20.0,1.0,9.0,19.0,20.0,8.0,16.0,32.22,800.0,72171.0,1.0
6,20.0,1.0,13.0,18.0,10.0,2.0,37.0,30.07,1850.0,72171.0,1.0
7,20.0,14.0,20.0,10.0,20.0,20.0,33.0,31.28,1650.0,72171.0,1.0
8,3.0,1.0,13.0,20.0,20.0,20.0,42.0,28.66,2100.0,72171.0,1.0
9,8.0,10.0,4.0,13.0,16.0,5.0,12.0,37.68,600.0,72171.0,1.0
10,14.0,19.0,11.0,18.0,7.0,11.0,13.0,37.43,650.0,72171.0,1.0
11,10.0,1.0,10.0,19.0,10.0,17.0,25.0,33.98,1250.0,72171.0,1.0
12,14.0,14.0,20.0,10.0,14.0,15.0,21.0,34.01,1050.0,72171.0,1.0
13,9.0,17.0,18.0,16.0,11.0,5.0,26.0,33.22,1300.0,72171.0,1.0
14,9.0,17.0,18.0,16.0,11.0,5.0,26.0,33.22,1300.0,72171.0,1.0
15,7.0,1.0,9.0,9.0,7.0,6.0,40.0,30.41,2000.0,72171.0,1.0
16,2.0,8.0,9.0,19.0,20.0,8.0,16.0,38.9,800.0,72171.0,1.0
17,15.0,10.0,5.0,9.0,13.0,20.0,21.0,35.83,1050.0,72171.0,1.0
18,12.0,12.0,10.0,19.0,4.0,15.0,27.0,33.41,1350.0,72171.0,1.0
19,5.0,14.0,20.0,3.0,10.0,20.0,25.0,34.1,1250.0,72171.0,1.0
0,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,72891.5,2.0
1,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,72891.5,2.0
2,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,72891.5,2.0
3,7.0,1.0,9.0,1.0,11.0,10.0,42.0,26.67,2100.0,72891.5,2.0
4,7.0,1.0,9.0,1.0,11.0,10.0,42.0,26.67,2100.0,72891.5,2.0
5,7.0,1.0,9.0,1.0,11.0,10.0,42.0,26.67,2100.0,72891.5,2.0
6,20.0,12.0,3.0,20.0,7.0,11.0,13.0,36.78,650.0,72891.5,2.0
7,20.0,1.0,9.0,19.0,20.0,8.0,16.0,32.22,800.0,72891.5,2.0
8,20.0,20.0,13.0,20.0,20.0,4.0,11.0,38.0,550.0,72891.5,2.0
9,20.0,2.0,20.0,20.0,11.0,5.0,25.0,31.64,1250.0,72891.5,2.0
10,9.0,17.0,18.0,16.0,11.0,5.0,12.0,36.79,600.0,72891.5,2.0
11,7.0,1.0,9.0,16.0,11.0,5.0,26.0,31.48,1300.0,72891.5,2.0
12,3.0,1.0,13.0,20.0,20.0,20.0,42.0,28.66,2100.0,72891.5,2.0
13,8.0,8.0,20.0,13.0,16.0,5.0,12.0,37.66,600.0,72891.5,2.0
14,8.0,8.0,20.0,13.0,16.0,5.0,12.0,37.66,600.0,72891.5,2.0
15,9.0,2.0,20.0,20.0,11.0,5.0,26.0,31.8,1300.0,72891.5,2.0
16,20.0,1.0,9.0,20.0,20.0,20.0,16.0,34.02,800.0,72891.5,2.0
17,20.0,1.0,13.0,18.0,10.0,2.0,37.0,30.07,1850.0,72891.5,2.0
18,20.0,8.0,20.0,10.0,14.0,15.0,21.0,33.83,1050.0,72891.5,2.0
19,20.0,14.0,20.0,10.0,20.0,20.0,33.0,31.28,1650.0,72891.5,2.0
0,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,73114.0,3.0
1,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,73114.0,3.0
2,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,73114.0,3.0
3,3.0,1.0,13.0,18.0,10.0,2.0,29.0,29.04,1450.0,73114.0,3.0
4,7.0,1.0,9.0,1.0,11.0,10.0,42.0,26.67,2100.0,73114.0,3.0
